ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0007155,cell adhesion,32/579,235/18215,3.82236426287984e-12,1.07026199360635e-09,1.01393241499549e-09,g21003/g24500/g39627/g16524/g12878/g34445/g35142/g27059/g27625/g27731/g27877/g27881/g33584/g41582/g4547/g4624/g4626/g4794/g7717/g455/g704/g9165/g11069/g30802/g31575/g31837/g32132/g30187/g30325/g30329/g30332/g30344,32
GO:0005886,plasma membrane,17/579,140/18215,2.27074764722705e-06,0.000272048039487972,0.000257729721620184,g27059/g27625/g27877/g27881/g4624/g4626/g7717/g18529/g455/g30802/g31575/g32132/g30187/g30325/g30329/g30332/g29052,17
GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,15/579,113/18215,2.91480042308541e-06,0.000272048039487972,0.000257729721620184,g27059/g27625/g27877/g27881/g4624/g4626/g7717/g455/g30802/g31575/g32132/g30187/g30325/g30329/g30332,15
GO:0005887,integral component of plasma membrane,13/579,149/18215,0.00095559900641733,0.0668919304492131,0.0633713025308335,g39225/g39627/g12423/g35138/g35142/g35501/g22449/g41553/g17667/g17905/g9636/g28393/g2268,13
GO:0008305,integrin complex,5/579,28/18215,0.00170914295133782,0.0957120052749181,0.0906745313130803,g24500/g4547/g4794/g704/g30344,5
GO:0005540,hyaluronic acid binding,4/579,21/18215,0.00393042453753998,0.183419811751866,0.173766137449136,g21003/g16524/g34445/g41582,4
GO:0005044,scavenger receptor activity,7/579,67/18215,0.00528688583779013,0.211475433511605,0.20034514753731,g13579/g32634/g36510/g36531/g37935/g10784/g5433,7
GO:0019898,extrinsic component of membrane,4/579,24/18215,0.00647251736533239,0.224051915513277,0.212259709433631,g41145/g7257/g10428/g2326,4
GO:0001525,angiogenesis,3/579,13/18215,0.00720166871292678,0.224051915513277,0.212259709433631,g27370/g333/g29543,3
GO:0007160,cell-matrix adhesion,4/579,26/18215,0.00866219978189698,0.242541593893115,0.229776246846109,g25960/g11916/g30344/g28208,4
GO:0042310,vasoconstriction,3/579,16/18215,0.0131383843554895,0.334431601776096,0.316829938524722,g12423/g15355/g9636,3
GO:0008092,cytoskeletal protein binding,4/579,34/18215,0.022026537397227,0.458778465572147,0.434632230542034,g41145/g7257/g10428/g2326,4
GO:0005576,extracellular region,19/579,362/18215,0.0230773234144912,0.458778465572147,0.434632230542034,g19613/g38463/g39186/g39503/g39712/g11916/g11986/g13470/g35495/g26652/g33584/g22581/g4284/g8822/g8971/g31858/g29890/g28208/g2147,19
