ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0006412,translation,18/360,125/18215,4.86083417398339e-11,5.79284035806632e-09,5.51140681840318e-09,g19973/g25170/g39588/g16029/g12291/g33655/g41187/g4797/g13796/g14391/g7399/g553/g9029/g10671/g5871/g6640/g29921/g28984,18
GO:0003735,structural constituent of ribosome,18/360,126/18215,5.570038805833e-11,5.79284035806632e-09,5.51140681840318e-09,g19973/g25170/g39588/g16029/g12291/g33655/g41187/g4797/g13796/g14391/g7399/g553/g9029/g10671/g5871/g6640/g29921/g28984,18
GO:0005840,ribosome,17/360,116/18215,1.27064898345403e-10,8.80983295194793e-09,8.38182487331079e-09,g19973/g25170/g16029/g12291/g33655/g41187/g4797/g13796/g14391/g7399/g553/g9029/g10671/g5871/g6640/g29921/g28984,17
GO:0005622,intracellular,21/360,355/18215,8.67763395793973e-06,0.000451236965812866,0.00042931452212965,g25170/g12145/g12291/g35451/g33655/g41187/g37616/g37617/g4797/g13796/g14110/g14391/g7399/g553/g9029/g10671/g5871/g6517/g6640/g29921/g28984,21
GO:0006955,immune response,11/360,124/18215,3.55849878114635e-05,0.00148033549295688,0.00140841635969582,g25144/g39841/g12008/g13491/g22364/g17569/g17753/g31631/g28506/g28513/g29090,11
GO:0019882,antigen processing and presentation,5/360,21/18215,4.5982532753889e-05,0.00159406113546815,0.00151661686977739,g17569/g31631/g28506/g28513/g29090,5
GO:0007229,integrin-mediated signaling pathway,3/360,10/18215,0.000828607999353394,0.0246214948379294,0.0234253088539005,g4112/g1065/g30344,3
GO:0007160,cell-matrix adhesion,4/360,26/18215,0.00159008945247435,0.0413423257643332,0.0393337917191025,g4112/g1065/g30344/g28208,4
GO:0008305,integrin complex,4/360,28/18215,0.00211111860967292,0.0487902967568852,0.046419917967077,g4112/g704/g1065/g30344,4
GO:0003746,translation elongation factor activity,3/360,17/18215,0.00423730072268461,0.08813585503184,0.0838539511436534,g26903/g5459/g30425,3
GO:0042613,MHC class II protein complex,3/360,19/18215,0.00586438711473417,0.11089022907861,0.105502849528232,g28506/g28513/g29090,3
GO:0007155,cell adhesion,11/360,235/18215,0.00726826896461952,0.125242640625605,0.119157977923147,g35142/g27059/g27888/g33584/g22406/g41582/g36997/g4112/g704/g1065/g30344,11
GO:0008234,cysteine-type peptidase activity,4/360,40/18215,0.00782766503910034,0.125242640625605,0.119157977923147,g15933/g33368/g38006/g4590,4
GO:0016702,oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen,3/360,22/18215,0.00892166904975361,0.132550511596339,0.126110810628096,g40721/g7100/g17662,3
GO:0008083,growth factor activity,6/360,106/18215,0.0187161399946892,0.259530474593023,0.246921706596601,g21193/g11991/g4823/g14847/g8804/g2865,6
GO:0045028,G protein-coupled purinergic nucleotide receptor activity,2/360,13/18215,0.0263123227242008,0.332568559277156,0.316411382308225,g37727/g37729,2
GO:0005576,extracellular region,13/360,362/18215,0.0285184728128529,0.332568559277156,0.316411382308225,g19613/g24597/g25144/g12008/g36227/g33584/g22581/g40439/g4823/g8804/g31858/g28208/g2147,13
GO:0005887,integral component of plasma membrane,7/360,149/18215,0.0287799714759077,0.332568559277156,0.316411382308225,g26071/g34650/g35142/g36997/g10908/g30990/g30037,7
GO:0006414,translational elongation,2/360,17/18215,0.0435675433594575,0.47359119995381,0.450582720603828,g26903/g5459,2
GO:0007154,cell communication,4/360,68/18215,0.0455376153801741,0.47359119995381,0.450582720603828,g37785/g7611/g1065/g6133,4
GO:0016746,transferase activity, transferring acyl groups,3/360,43/18215,0.052862890443414,0.481222632229998,0.457843395036638,g33987/g17830/g450,3
GO:0009607,response to biotic stimulus,2/360,20/18215,0.0585664866630089,0.481222632229998,0.457843395036638,g16381/g37403,2
GO:0006810,transport,13/360,407/18215,0.0618276533305118,0.481222632229998,0.457843395036638,g26026/g26071/g34636/g22447/g37616/g37617/g4411/g7692/g8306/g6503/g6517/g30990/g31710,13
GO:0004197,cysteine-type endopeptidase activity,2/360,21/18215,0.063908433929785,0.481222632229998,0.457843395036638,g15936/g4590,2
GO:0005452,inorganic anion exchanger activity,2/360,21/18215,0.063908433929785,0.481222632229998,0.457843395036638,g20544/g35252,2
GO:0031418,L-ascorbic acid binding,2/360,21/18215,0.063908433929785,0.481222632229998,0.457843395036638,g7100/g17662,2
GO:0050661,NADP binding,2/360,21/18215,0.063908433929785,0.481222632229998,0.457843395036638,g39551/g41501,2
GO:0005230,extracellular ligand-gated ion channel activity,4/360,78/18215,0.0686507297562399,0.481222632229998,0.457843395036638,g26026/g7692/g30990/g31710,4
GO:0005615,extracellular space,5/360,111/18215,0.0692902038985629,0.481222632229998,0.457843395036638,g19613/g39841/g22364/g7773/g28909,5
GO:0004890,GABA-A receptor activity,2/360,22/18215,0.0694071104177882,0.481222632229998,0.457843395036638,g7692/g31710,2
GO:0006310,DNA recombination,2/360,24/18215,0.0808419445346891,0.50954922615804,0.484793798166557,g37626/g5781,2
GO:0006869,lipid transport,2/360,24/18215,0.0808419445346891,0.50954922615804,0.484793798166557,g33158/g4411,2
GO:0007596,blood coagulation,2/360,24/18215,0.0808419445346891,0.50954922615804,0.484793798166557,g12734/g37727,2
GO:0006820,anion transport,2/360,28/18215,0.105246924047887,0.581557816160293,0.553303995132263,g20544/g35252,2
GO:0006260,DNA replication,3/360,59/18215,0.111166061572813,0.581557816160293,0.553303995132263,g27635/g37626/g5781,3
GO:0006821,chloride transport,2/360,29/18215,0.111626156088782,0.581557816160293,0.553303995132263,g26026/g30990,2
GO:0005882,intermediate filament,3/360,61/18215,0.119688568505221,0.581557816160293,0.553303995132263,g38782/g12691/g8590,3
GO:0005234,extracellularly glutamate-gated ion channel activity,2/360,31/18215,0.124671591441324,0.581557816160293,0.553303995132263,g20231/g8029,2
GO:0035091,phosphatidylinositol binding,3/360,63/18215,0.128443935244806,0.581557816160293,0.553303995132263,g35261/g37654/g8264,3
GO:0004970,ionotropic glutamate receptor activity,2/360,33/18215,0.138058512971149,0.581557816160293,0.553303995132263,g20231/g8029,2
GO:0006935,chemotaxis,2/360,33/18215,0.138058512971149,0.581557816160293,0.553303995132263,g25144/g32937,2
GO:0007049,cell cycle,2/360,34/18215,0.144865371198808,0.581557816160293,0.553303995132263,g41785/g6624,2
GO:0008009,chemokine activity,2/360,34/18215,0.144865371198808,0.581557816160293,0.553303995132263,g25144/g12008,2
GO:0005044,scavenger receptor activity,3/360,67/18215,0.1466011656474,0.581557816160293,0.553303995132263,g4003/g14805/g18328,3
GO:0005506,iron ion binding,5/360,142/18215,0.150716804717917,0.581557816160293,0.553303995132263,g24951/g16928/g33180/g7100/g17662,5
GO:0051726,regulation of cell cycle,2/360,35/18215,0.151740403179436,0.581557816160293,0.553303995132263,g31712/g31778,2
GO:0004867,serine-type endopeptidase inhibitor activity,2/360,36/18215,0.158678277214504,0.581557816160293,0.553303995132263,g33443/g7773,2
GO:0045211,postsynaptic membrane,2/360,36/18215,0.158678277214504,0.581557816160293,0.553303995132263,g26026/g30990,2
GO:0016788,hydrolase activity, acting on ester bonds,2/360,39/18215,0.179818349747033,0.581557816160293,0.553303995132263,g19950/g27858,2
GO:0051287,NAD binding,2/360,39/18215,0.179818349747033,0.581557816160293,0.553303995132263,g12459/g34715,2
GO:0000062,fatty-acyl-CoA binding,1/360,10/18215,0.180997647497619,0.581557816160293,0.553303995132263,g33987,1
GO:0015269,calcium-activated potassium channel activity,1/360,10/18215,0.180997647497619,0.581557816160293,0.553303995132263,g21062,1
GO:0015935,small ribosomal subunit,1/360,10/18215,0.180997647497619,0.581557816160293,0.553303995132263,g13796,1
GO:0031072,heat shock protein binding,1/360,10/18215,0.180997647497619,0.581557816160293,0.553303995132263,g35006,1
GO:0043022,ribosome binding,1/360,10/18215,0.180997647497619,0.581557816160293,0.553303995132263,g30425,1
GO:0043395,heparan sulfate proteoglycan binding,1/360,10/18215,0.180997647497619,0.581557816160293,0.553303995132263,g32005,1
GO:0045010,actin nucleation,1/360,10/18215,0.180997647497619,0.581557816160293,0.553303995132263,g19697,1
GO:0046961,proton-transporting ATPase activity, rotational mechanism,1/360,10/18215,0.180997647497619,0.581557816160293,0.553303995132263,g39409,1
GO:0006629,lipid metabolic process,4/360,113/18215,0.185211416621076,0.581557816160293,0.553303995132263,g33158/g41344/g37684/g8768,4
GO:0007399,nervous system development,2/360,41/18215,0.194136198834278,0.581557816160293,0.553303995132263,g36997/g4823,2
GO:0000775,chromosome, centromeric region,1/360,11/18215,0.197193244690745,0.581557816160293,0.553303995132263,g22718,1
GO:0006270,DNA replication initiation,1/360,11/18215,0.197193244690745,0.581557816160293,0.553303995132263,g27635,1
GO:0006479,protein methylation,1/360,11/18215,0.197193244690745,0.581557816160293,0.553303995132263,g15543,1
GO:0009072,aromatic amino acid family metabolic process,1/360,11/18215,0.197193244690745,0.581557816160293,0.553303995132263,g19789,1
GO:0015671,oxygen transport,1/360,11/18215,0.197193244690745,0.581557816160293,0.553303995132263,g24951,1
GO:0030414,peptidase inhibitor activity,1/360,11/18215,0.197193244690745,0.581557816160293,0.553303995132263,g2147,1
GO:0030833,regulation of actin filament polymerization,1/360,11/18215,0.197193244690745,0.581557816160293,0.553303995132263,g25768,1
GO:0045087,innate immune response,1/360,11/18215,0.197193244690745,0.581557816160293,0.553303995132263,g31591,1
GO:0005922,connexin complex,2/360,42/18215,0.201349058888408,0.581557816160293,0.553303995132263,g7611/g6133,2
GO:0005198,structural molecule activity,5/360,160/18215,0.210531250541314,0.581557816160293,0.553303995132263,g38782/g12301/g12691/g8277/g8590,5
GO:0004602,glutathione peroxidase activity,1/360,12/18215,0.21306944947603,0.581557816160293,0.553303995132263,g12237,1
GO:0008374,O-acyltransferase activity,1/360,12/18215,0.21306944947603,0.581557816160293,0.553303995132263,g17110,1
GO:0033180,proton-transporting V-type ATPase, V1 domain,1/360,12/18215,0.21306944947603,0.581557816160293,0.553303995132263,g39409,1
GO:0034993,meiotic nuclear membrane microtubule tethering complex,1/360,12/18215,0.21306944947603,0.581557816160293,0.553303995132263,g20666,1
GO:0000122,negative regulation of transcription by RNA polymerase II,1/360,13/18215,0.228632543372016,0.581557816160293,0.553303995132263,g33139,1
GO:0003714,transcription corepressor activity,1/360,13/18215,0.228632543372016,0.581557816160293,0.553303995132263,g33139,1
GO:0005635,nuclear envelope,1/360,13/18215,0.228632543372016,0.581557816160293,0.553303995132263,g20666,1
GO:0006644,phospholipid metabolic process,1/360,13/18215,0.228632543372016,0.581557816160293,0.553303995132263,g27588,1
GO:0007009,plasma membrane organization,1/360,13/18215,0.228632543372016,0.581557816160293,0.553303995132263,g34323,1
GO:0005212,structural constituent of eye lens,1/360,14/18215,0.24388868469638,0.581557816160293,0.553303995132263,g7945,1
GO:0005764,lysosome,1/360,14/18215,0.24388868469638,0.581557816160293,0.553303995132263,g8768,1
GO:0005834,heterotrimeric G-protein complex,1/360,14/18215,0.24388868469638,0.581557816160293,0.553303995132263,g10857,1
GO:0005852,eukaryotic translation initiation factor 3 complex,1/360,14/18215,0.24388868469638,0.581557816160293,0.553303995132263,g26601,1
GO:0008201,heparin binding,1/360,14/18215,0.24388868469638,0.581557816160293,0.553303995132263,g33584,1
GO:0042803,protein homodimerization activity,1/360,14/18215,0.24388868469638,0.581557816160293,0.553303995132263,g34715,1
GO:0046933,proton-transporting ATP synthase activity, rotational mechanism,1/360,14/18215,0.24388868469638,0.581557816160293,0.553303995132263,g39409,1
GO:0004888,transmembrane signaling receptor activity,3/360,87/18215,0.246974656904988,0.581557816160293,0.553303995132263,g25087/g17753/g31591,3
GO:0005885,Arp2/3 protein complex,1/360,15/18215,0.258843910975667,0.581557816160293,0.553303995132263,g25768,1
