ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0006811,ion transport,37/757,320/18215,1.91761407934825e-08,5.82954680121867e-06,5.18765071992104e-06,g19152/g19169/g20502/g21014/g21516/g24263/g25540/g26028/g16245/g13406/g34636/g34665/g26371/g27266/g22943/g23311/g40323/g37535/g15238/g7116/g7117/g7404/g7692/g17551/g17793/g18529/g353/g735/g8968/g10814/g11132/g11196/g6757/g6805/g30990/g30517/g2618,37
GO:0005887,integral component of plasma membrane,23/757,149/18215,5.34448328020636e-08,8.12361458591367e-06,7.22911685796334e-06,g21467/g39618/g39627/g34862/g35138/g35142/g27701/g23163/g40792/g37432/g37463/g4370/g7150/g8353/g17667/g8968/g10814/g30990/g31908/g29320/g28272/g28407/g2864,23
GO:0005886,plasma membrane,20/757,140/18215,1.3865206570732e-06,0.000118641693331004,0.000105577961170596,g25134/g25252/g25662/g38504/g15822/g27877/g33310/g22411/g37140/g37143/g7717/g17770/g18207/g18529/g455/g10204/g31236/g31444/g28730/g29052,20
GO:0007155,cell adhesion,27/757,235/18215,1.79613617558865e-06,0.000118641693331004,0.000105577961170596,g21003/g25134/g25662/g38504/g39627/g15822/g16524/g34445/g35142/g27877/g33310/g22411/g41582/g41583/g37140/g37143/g37448/g6935/g7717/g17770/g18207/g455/g31236/g31444/g30344/g28272/g28730,27
GO:0007416,synapse assembly,6/757,11/18215,1.95134364031256e-06,0.000118641693331004,0.000105577961170596,g38481/g15843/g15844/g15845/g35051/g10153,6
GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,17/757,113/18215,4.14388813047947e-06,0.00020995699861096,0.00018683846483039,g25134/g25662/g38504/g15822/g27877/g33310/g22411/g36776/g37140/g37143/g7717/g17770/g18207/g455/g31236/g31444/g28730,17
GO:0005452,inorganic anion exchanger activity,7/757,21/18215,1.45289293884312e-05,0.000630970647726153,0.000561493962831099,g20544/g20546/g12031/g35252/g35253/g35254/g4188,7
GO:0045202,synapse,6/757,16/18215,2.8279358863667e-05,0.00107461563681935,0.000956288845784529,g21569/g38481/g15845/g35051/g26684/g37448,6
GO:0070588,calcium ion transmembrane transport,12/757,72/18215,3.77364157085189e-05,0.00127465226393219,0.00113429927919174,g21516/g24263/g38252/g38406/g13406/g34860/g35659/g35916/g37394/g37397/g15238/g7404,12
GO:0005216,ion channel activity,26/757,268/18215,5.5933205255518e-05,0.00170036943976775,0.00151314039480717,g21014/g21516/g24263/g25540/g26028/g16245/g13406/g34665/g26371/g27266/g22943/g23311/g40323/g37535/g15238/g7116/g7404/g7692/g17551/g17793/g735/g8968/g11196/g6757/g6805/g30517,26
GO:0006816,calcium ion transport,10/757,54/18215,6.59322826584199e-05,0.0018221285389236,0.00162149250174296,g38252/g35657/g35658/g35659/g37392/g37394/g37396/g37397/g15031/g28360,10
GO:0006820,anion transport,7/757,28/18215,0.000114714654007215,0.00277511541255429,0.00246954522516085,g20544/g20546/g12031/g35252/g35253/g35254/g4188,7
GO:0048786,presynaptic active zone,6/757,20/18215,0.000118672698563177,0.00277511541255429,0.00246954522516085,g38481/g15843/g15844/g15845/g35051/g35860,6
GO:0005249,voltage-gated potassium channel activity,13/757,97/18215,0.00018503296897539,0.003997819566181,0.003557616442204,g21014/g25540/g16245/g34665/g26371/g27266/g22943/g23311/g7484/g17551/g735/g736/g8968,13
