ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0006816,calcium ion transport,14/1000,54/18215,8.51373982889766e-07,0.000279250666387843,0.000232111433229947,g38251/g38252/g35657/g35658/g35659/g37390/g37391/g37392/g37393/g37394/g37396/g37397/g17470/g1264,14
GO:0005085,guanyl-nucleotide exchange factor activity,17/1000,93/18215,1.08208995930777e-05,0.00177462753326475,0.00147505947084586,g21344/g38728/g11899/g12432/g36129/g33141/g22810/g40830/g41523/g37399/g14089/g14627/g7085/g8359/g18394/g418/g616,17
GO:0005887,integral component of plasma membrane,21/1000,149/18215,6.54175350927803e-05,0.00463667941105639,0.00385397935643005,g21192/g21467/g25840/g39618/g16977/g27528/g27701/g27904/g22200/g23163/g40792/g37463/g8353/g9521/g9636/g30990/g31430/g31908/g29518/g28272/g2864,21
GO:0008092,cytoskeletal protein binding,9/1000,34/18215,6.5930514355226e-05,0.00463667941105639,0.00385397935643005,g32796/g41145/g4274/g17997/g10428/g10429/g5398/g5406/g5408,9
GO:0008017,microtubule binding,19/1000,128/18215,7.06810885831766e-05,0.00463667941105639,0.00385397935643005,g38426/g39694/g39829/g16483/g35381/g27128/g34146/g23461/g41275/g41891/g17998/g1267/g9071/g5517/g5519/g5520/g2507/g2983/g3009,19
GO:0004714,transmembrane receptor protein tyrosine kinase activity,9/1000,36/18215,0.000107173842451922,0.00488941652490983,0.00406405288816318,g15893/g11787/g34967/g27528/g23058/g41950/g4403/g662/g31343,9
GO:0051015,actin filament binding,12/1000,62/18215,0.000118690319069458,0.00488941652490983,0.00406405288816318,g24952/g38398/g15959/g22243/g9692/g10469/g10471/g10472/g10473/g10969/g31837/g28992,12
GO:0070588,calcium ion transmembrane transport,13/1000,72/18215,0.000131617927254228,0.00488941652490983,0.00406405288816318,g21516/g24263/g38252/g38406/g13406/g35659/g35916/g37394/g37397/g15238/g1264/g9576/g28000,13
GO:0045202,synapse,6/1000,16/18215,0.000134160819281062,0.00488941652490983,0.00406405288816318,g21569/g38481/g15845/g35051/g26684/g26685,6
GO:0005089,Rho guanyl-nucleotide exchange factor activity,16/1000,103/18215,0.000150047921706502,0.00492157183197328,0.00409078018126149,g38728/g39926/g16698/g35417/g35948/g36129/g33141/g22810/g23065/g37981/g3660/g4341/g8359/g9115/g31016/g1880,16
