ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0006811,ion transport,127/4823,320/18215,1.43305148871383e-07,7.52352031574763e-05,6.77305387823697e-05,g19152/g19169/g19170/g20231/g20674/g20949/g21014/g21516/g24263/g24462/g24467/g24589/g25085/g25540/g25703/g25704/g25752/g26026/g26028/g38234/g38237/g38253/g38621/g38655/g38730/g38982/g39291/g39395/g39428/g39429/g39859/g16245/g16565/g16788/g17321/g11695/g12660/g13406/g34636/g34665/g34784/g34916/g34987/g35153/g35247/g35248/g36215/g26371/g27013/g27266/g32864/g33125/g33195/g33781/g34030/g34260/g22943/g23311/g23850/g23924/g40323/g41322/g41325/g41327/g41621/g36720/g37455/g37535/g37899/g37992/g3887/g4499/g4561/g13872/g15008/g15238/g7116/g7117/g7405/g7555/g7692/g7694/g17551/g17793/g17847/g18260/g18404/g18529/g18888/g343/g353/g498/g735/g1264/g1398/g8562/g8968/g9463/g9574/g9576/g10372/g10393/g10814/g11132/g11196/g5244/g5897/g6411/g6757/g6805/g30788/g30990/g31451/g31453/g31455/g31456/g31515/g31588/g29482/g29854/g30517/g30521/g28000/g2022/g2618/g2620/g2622,127
GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,55/4823,113/18215,3.49965076263097e-07,9.1865832519063e-05,8.27022732853319e-05,g21046/g25134/g25662/g38504/g39249/g39688/g15822/g12250/g35122/g35606/g26253/g27337/g27691/g27877/g27888/g33310/g34131/g22402/g22406/g22411/g23648/g41254/g36776/g37140/g37143/g37530/g7322/g7329/g7353/g7715/g7716/g7718/g17769/g17770/g18207/g18831/g18865/g455/g5152/g30802/g30862/g31236/g31444/g31524/g31525/g31538/g31547/g31551/g31552/g31554/g31556/g31566/g31574/g30185/g28730,55
GO:0004970,ionotropic glutamate receptor activity,22/4823,33/18215,1.55017636434405e-06,0.000190022319522258,0.000171067712211517,g20231/g25085/g25752/g26028/g38621/g11695/g34916/g33125/g33195/g34260/g40323/g37899/g37992/g13872/g8029/g1398/g8562/g10372/g5244/g6757/g6805/g31888,22
GO:0005216,ion channel activity,106/4823,268/18215,1.80031995633672e-06,0.000190022319522258,0.000171067712211517,g19170/g20231/g20674/g20949/g21014/g21516/g24263/g24467/g24589/g25085/g25540/g25703/g25704/g25752/g26028/g38234/g38237/g38253/g38514/g38621/g38730/g39395/g39428/g39429/g39859/g16245/g16788/g17321/g11695/g12660/g13406/g34665/g34784/g34916/g34987/g35153/g35247/g35248/g36215/g26371/g27013/g27266/g32864/g33125/g33195/g33781/g34030/g34260/g22943/g23311/g23850/g23924/g40323/g41322/g41325/g41621/g37455/g37535/g37899/g37992/g3887/g4499/g4561/g13872/g15008/g15238/g7116/g7405/g7692/g7694/g17551/g17793/g18888/g498/g735/g1264/g1398/g8562/g8968/g9574/g9576/g10372/g10393/g11196/g5244/g5897/g6411/g6757/g6805/g30788/g31451/g31453/g31455/g31456/g31515/g31588/g29482/g29854/g30517/g30521/g28000/g28615/g2022/g2620/g2622/g2924,106
GO:0005234,extracellularly glutamate-gated ion channel activity,21/4823,31/18215,1.80973637640246e-06,0.000190022319522258,0.000171067712211517,g20231/g25085/g25752/g26028/g38621/g11695/g34916/g33125/g33195/g34260/g40323/g37899/g37992/g13872/g8029/g1398/g8562/g10372/g5244/g6805/g31888,21
GO:0000166,nucleotide binding,143/4823,399/18215,2.00461389746698e-05,0.0017540371602836,0.00157907305256609,g19166/g19167/g19570/g20000/g20132/g20377/g20420/g21379/g21541/g24140/g24168/g24367/g25003/g25958/g26022/g38256/g38311/g38406/g38500/g38663/g39293/g39466/g39715/g39732/g39850/g16227/g16805/g12061/g12609/g12670/g12967/g13246/g34424/g34538/g34638/g34856/g34860/g34945/g34972/g35134/g35168/g35271/g35473/g35725/g35916/g26657/g27451/g27761/g32569/g33104/g33245/g33495/g33902/g22183/g22306/g22354/g22395/g22462/g22526/g22954/g40078/g40297/g40755/g40780/g40845/g40858/g40979/g41107/g41384/g41637/g41821/g41856/g41978/g36639/g36641/g36749/g36964/g37461/g37601/g37784/g4116/g4457/g13767/g13968/g14100/g14326/g14386/g14628/g14940/g14981/g15034/g15156/g15342/g6917/g7154/g7208/g7332/g7399/g7499/g7745/g7933/g8067/g17884/g18081/g18332/g18381/g18766/g346/g856/g876/g1229/g8621/g9682/g10068/g10800/g10834/g10872/g11046/g11143/g5231/g5452/g5540/g5808/g6228/g6327/g6536/g6539/g30679/g30778/g31013/g31198/g31250/g31300/g31392/g29647/g29683/g30019/g30157/g28405/g28435/g2302/g2882/g3215,143
GO:0004674,protein serine/threonine kinase activity,64/4823,155/18215,4.13223864411385e-05,0.0029227375201702,0.00263119628382239,g19327/g19843/g20207/g20279/g20622/g21506/g21866/g24430/g24807/g24915/g25155/g25881/g38218/g38704/g39200/g39543/g11911/g11993/g12853/g13243/g35061/g35455/g36156/g26221/g26948/g27144/g27362/g32939/g33975/g22188/g22752/g22878/g40369/g40521/g40525/g41005/g36910/g37320/g4210/g4969/g13784/g14719/g15027/g15029/g7491/g7661/g7802/g17608/g17765/g139/g8601/g8622/g9162/g9280/g10048/g10049/g5226/g6041/g31179/g30217/g30497/g28207/g28344/g2166,64
GO:0007155,cell adhesion,90/4823,235/18215,4.45369526883078e-05,0.0029227375201702,0.00263119628382239,g19710/g21003/g25134/g25237/g25662/g38504/g38985/g39249/g39438/g39627/g15822/g15959/g16480/g16531/g12256/g34445/g35122/g35142/g35606/g35713/g26253/g27137/g27691/g27877/g27888/g33310/g22384/g22402/g22406/g22411/g22863/g41242/g41254/g41583/g41758/g36997/g37140/g37143/g37448/g37530/g37555/g37849/g3539/g3758/g3761/g4428/g4485/g4794/g14197/g7329/g7353/g7410/g7605/g7703/g7715/g7716/g7718/g7759/g17769/g17770/g18207/g18831/g18865/g455/g864/g1065/g9295/g9296/g6361/g30802/g30862/g31236/g31444/g31524/g31525/g31538/g31547/g31551/g31552/g31554/g31566/g31574/g32190/g30185/g30344/g28272/g28730/g2155/g2354/g2505,90
GO:0048786,presynaptic active zone,14/4823,20/18215,5.86258448919211e-05,0.00306055112114368,0.00275526306444815,g21501/g24474/g38481/g15597/g15843/g15844/g15845/g35051/g35052/g35053/g35860/g32525/g14376/g14377,14
GO:0004143,diacylglycerol kinase activity,10/4823,12/18215,6.4125833014439e-05,0.00306055112114368,0.00275526306444815,g21132/g24506/g16976/g33425/g36586/g3548/g3874/g30746/g29013/g2868,10
