ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0006396,RNA processing,8/341,57/18215,1.03290828407581e-05,0.00192647105638603,0.00152347163422459,g19346/g20704/g35009/g33495/g37607/g222/g8859/g10629,8
GO:0003924,GTPase activity,11/341,131/18215,3.61762030520524e-05,0.00192647105638603,0.00152347163422459,g24796/g38440/g27058/g33090/g41642/g4415/g14946/g11455/g5461/g31463/g2075,11
GO:0006457,protein folding,8/341,69/18215,4.30149829372166e-05,0.00192647105638603,0.00152347163422459,g21073/g16204/g12022/g7242/g7389/g9223/g10344/g31111,8
GO:0005200,structural constituent of cytoskeleton,6/341,36/18215,4.9939888710681e-05,0.00192647105638603,0.00152347163422459,g24796/g38440/g27058/g33090/g4415/g2075,6
GO:0003824,catalytic activity,23/341,490/18215,5.44493482051416e-05,0.00192647105638603,0.00152347163422459,g21540/g22033/g24737/g26077/g33444/g22380/g23877/g41437/g36534/g36630/g37988/g13708/g15115/g7213/g17951/g904/g8544/g8859/g5825/g5883/g6577/g29694/g2711,23
GO:0007017,microtubule-based process,6/341,37/18215,5.86742453721634e-05,0.00192647105638603,0.00152347163422459,g24796/g38440/g27058/g33090/g4415/g2075,6
GO:0003723,RNA binding,15/341,256/18215,0.000102487248538725,0.00288428399458984,0.0022809192155987,g20704/g24271/g25728/g35009/g27695/g33495/g34174/g23423/g37607/g7866/g8339/g222/g8620/g10801/g5865,15
GO:0005737,cytoplasm,18/341,365/18215,0.000192565479621941,0.0047419249356903,0.00374995934000622,g22033/g38820/g15589/g16404/g16576/g32916/g33098/g33495/g22787/g23802/g23877/g37461/g17805/g9180/g11293/g5461/g5996/g29964,18
GO:0005874,microtubule,6/341,52/18215,0.000405957919522239,0.00888596779398679,0.00702710784670075,g24796/g38440/g27058/g33090/g4415/g2075,6
GO:0045454,cell redox homeostasis,6/341,59/18215,0.000805242270734336,0.0158632727334664,0.0125448269545981,g24620/g35487/g4448/g29791/g28662/g2455,6
GO:0008033,tRNA processing,4/341,25/18215,0.00111854682579841,0.0185524485444283,0.0146714527628928,g19357/g24271/g23423/g6577,4
GO:0005730,nucleolus,3/341,12/18215,0.00126197595728421,0.0185524485444283,0.0146714527628928,g26339/g8339/g8859,3
GO:0008137,NADH dehydrogenase (ubiquinone) activity,3/341,12/18215,0.00126197595728421,0.0185524485444283,0.0146714527628928,g21115/g6604/g2401,3
GO:0004298,threonine-type endopeptidase activity,4/341,27/18215,0.00150679785132413,0.0185524485444283,0.0146714527628928,g16494/g27069/g27688/g22788,4
GO:0005839,proteasome core complex,4/341,27/18215,0.00150679785132413,0.0185524485444283,0.0146714527628928,g16494/g27069/g27688/g22788,4
GO:0051603,proteolysis involved in cellular protein catabolic process,4/341,27/18215,0.00150679785132413,0.0185524485444283,0.0146714527628928,g16494/g27069/g27688/g22788,4
GO:0051082,unfolded protein binding,5/341,46/18215,0.0016309733298476,0.0189001027047046,0.0149463809794084,g21073/g16204/g7242/g7389/g10344,5
GO:0009982,pseudouridine synthase activity,3/341,14/18215,0.00203076976694933,0.0222256468938344,0.0175762529537135,g20704/g35009/g8620,3
GO:0003743,translation initiation factor activity,4/341,30/18215,0.00225143714756567,0.0233438483194966,0.0184605372764387,g32916/g9249/g10801/g5996,4
GO:0009451,RNA modification,3/341,15/18215,0.00250348321744633,0.0246593096918463,0.0195008166411609,g20704/g35009/g8620,3
GO:0001522,pseudouridine synthesis,3/341,16/18215,0.00303879224023441,0.0260279161446164,0.020583123640947,g20704/g35009/g8620,3
GO:0005681,spliceosomal complex,3/341,16/18215,0.00303879224023441,0.0260279161446164,0.020583123640947,g19365/g7590/g5865,3
GO:0006364,rRNA processing,3/341,16/18215,0.00303879224023441,0.0260279161446164,0.020583123640947,g34174/g23423/g4172,3
GO:0008168,methyltransferase activity,6/341,80/18215,0.00387256437957696,0.0317872992823608,0.0251376986042715,g25230/g35246/g34174/g37607/g18723/g222,6
GO:0000413,protein peptidyl-prolyl isomerization,3/341,22/18215,0.00769188692865912,0.0582808355748402,0.0460890390867024,g12022/g9223/g31111,3
GO:0003755,peptidyl-prolyl cis-trans isomerase activity,3/341,22/18215,0.00769188692865912,0.0582808355748402,0.0460890390867024,g12022/g9223/g31111,3
GO:0016592,mediator complex,3/341,23/18215,0.00872470892108544,0.063658061387179,0.0503414004023644,g33177/g37870/g31472,3
GO:0004175,endopeptidase activity,3/341,24/18215,0.00983487793471237,0.069195391183512,0.054720373471332,g16494/g27069/g27688,3
GO:0005739,mitochondrion,4/341,49/18215,0.0131924435877363,0.089565949445812,0.0708296046913181,g19357/g27794/g6661/g29459,4
GO:0000398,mRNA splicing, via spliceosome,3/341,27/18215,0.0136394846871795,0.089565949445812,0.0708296046913181,g25630/g7590/g5865,3
GO:0016573,histone acetylation,2/341,10/18215,0.0142385005338667,0.0904833743603787,0.0715551130394659,g4543/g5163,2
GO:0015035,protein disulfide oxidoreductase activity,2/341,12/18215,0.0203748072051405,0.125432406856646,0.0991931403408156,g35487/g28662,2
GO:0009055,electron transfer activity,3/341,32/18215,0.021600422553282,0.128947977060502,0.10197328669492,g21115/g35487/g2401,3
GO:0006139,nucleobase-containing compound metabolic process,3/341,33/18215,0.0234387618036258,0.133876417568999,0.105870744323868,g25230/g15877/g5498,3
GO:0003993,acid phosphatase activity,2/341,13/18215,0.0237851503295177,0.133876417568999,0.105870744323868,g11293/g2452,2
GO:0006260,DNA replication,4/341,59/18215,0.0245272923712146,0.134218794364702,0.106141499150286,g26573/g33184/g41251/g148,4
GO:0005764,lysosome,2/341,14/18215,0.027410880423279,0.134998586084649,0.106758165859087,g23649/g8768,2
GO:0005852,eukaryotic translation initiation factor 3 complex,2/341,14/18215,0.027410880423279,0.134998586084649,0.106758165859087,g32916/g5996,2
GO:0046933,proton-transporting ATP synthase activity, rotational mechanism,2/341,14/18215,0.027410880423279,0.134998586084649,0.106758165859087,g9017/g2829,2
GO:0051539,4 iron, 4 sulfur cluster binding,2/341,14/18215,0.027410880423279,0.134998586084649,0.106758165859087,g6604/g31463,2
GO:0042254,ribosome biogenesis,2/341,15/18215,0.0312427876857148,0.150117784733801,0.118714571950855,g37366/g8859,2
GO:0006418,tRNA aminoacylation for protein translation,3/341,38/18215,0.0338599866332977,0.158819461113325,0.125595940394187,g33098/g37461/g29964,3
GO:0006366,transcription by RNA polymerase II,2/341,16/18215,0.035271929892212,0.161594655552692,0.127790590551956,g16032/g18774,2
GO:0008234,cysteine-type peptidase activity,3/341,40/18215,0.0385963338293945,0.165520345817081,0.130895063750617,g12059/g28280/g1870,3
GO:0003746,translation elongation factor activity,2/341,17/18215,0.039489625651791,0.165520345817081,0.130895063750617,g14946/g5461,2
GO:0006325,chromatin organization,2/341,17/18215,0.039489625651791,0.165520345817081,0.130895063750617,g4543/g5737,2
GO:0006414,translational elongation,2/341,17/18215,0.039489625651791,0.165520345817081,0.130895063750617,g14946/g5461,2
GO:0004812,aminoacyl-tRNA ligase activity,3/341,41/18215,0.0410842194112162,0.168616483833533,0.133343519141667,g33098/g37461/g29964,3
GO:0006351,transcription, DNA-templated,4/341,73/18215,0.0480038290882335,0.192994986334327,0.152622270785361,g19733/g25147/g15637/g7037,4
GO:0016491,oxidoreductase activity,11/341,334/18215,0.0505954382460334,0.199346026689372,0.15764473390343,g19384/g24620/g26077/g39697/g13578/g26230/g32844/g37581/g8002/g1241/g2401,11
GO:0006338,chromatin remodeling,2/341,20/18215,0.0531909956338878,0.205463257644625,0.162482298324363,g16958/g11897,2
GO:0006281,DNA repair,5/341,116/18215,0.0670186625810274,0.249170358951677,0.197046289740038,g33184/g34002/g23463/g23867/g29694,5
GO:0004518,nuclease activity,2/341,23/18215,0.068300504484216,0.249170358951677,0.197046289740038,g16923/g29694,2
GO:0015986,ATP synthesis coupled proton transport,2/341,23/18215,0.068300504484216,0.249170358951677,0.197046289740038,g9017/g2829,2
GO:0000166,nucleotide binding,12/341,399/18215,0.0733147115663074,0.258969028648617,0.204795170932383,g24367/g12967/g33098/g33495/g37461/g4116/g7208/g8067/g10068/g5808/g6539/g29964,12
GO:0006310,DNA recombination,2/341,24/18215,0.0736155614432618,0.258969028648617,0.204795170932383,g33184/g9298,2
GO:0006511,ubiquitin-dependent protein catabolic process,4/341,85/18215,0.0753343424796691,0.260366060850786,0.205899957285153,g16494/g27069/g34013/g6609,4
GO:0006886,intracellular protein transport,6/341,160/18215,0.0806515962317695,0.271591551286391,0.21477718188825,g20107/g25957/g8002/g31463/g29767/g30118,6
GO:0000723,telomere maintenance,2/341,26/18215,0.0846222641103254,0.271591551286391,0.21477718188825,g17057/g34002,2
GO:0003899,DNA-directed 5'-3' RNA polymerase activity,2/341,26/18215,0.0846222641103254,0.271591551286391,0.21477718188825,g25147/g15637,2
GO:0005262,calcium channel activity,2/341,26/18215,0.0846222641103254,0.271591551286391,0.21477718188825,g38253/g41206,2
GO:0008152,metabolic process,11/341,367/18215,0.0854755136028236,0.271591551286391,0.21477718188825,g24737/g13496/g35246/g41437/g36630/g13708/g17951/g18723/g5825/g5883/g2153,11
GO:0003678,DNA helicase activity,2/341,29/18215,0.101977595180323,0.318882321436884,0.252175172709906,g35198/g148,2
GO:0006979,response to oxidative stress,2/341,30/18215,0.107963821182148,0.332326137076301,0.262806669982861,g9026/g31831,2
GO:0008233,peptidase activity,3/341,65/18215,0.122235171853745,0.37046659777212,0.292968509058369,g25786/g35371/g22878,3
GO:0005783,endoplasmic reticulum,3/341,71/18215,0.147844762588977,0.441294215606493,0.348979662889452,g38253/g7035/g29791,3
GO:0016757,transferase activity, transferring glycosyl groups,2/341,37/18215,0.152119830251165,0.444253736520544,0.351320080176546,g22653/g1241,2
GO:0008289,lipid binding,3/341,73/18215,0.156740356394728,0.444253736520544,0.351320080176546,g20122/g16404/g10690,3
GO:0000155,phosphorelay sensor kinase activity,1/341,10/18215,0.172238346041717,0.444253736520544,0.351320080176546,g2022,1
GO:0000160,phosphorelay signal transduction system,1/341,10/18215,0.172238346041717,0.444253736520544,0.351320080176546,g2022,1
GO:0004180,carboxypeptidase activity,1/341,10/18215,0.172238346041717,0.444253736520544,0.351320080176546,g587,1
GO:0004407,histone deacetylase activity,1/341,10/18215,0.172238346041717,0.444253736520544,0.351320080176546,g11081,1
GO:0006368,transcription elongation from RNA polymerase II promoter,1/341,10/18215,0.172238346041717,0.444253736520544,0.351320080176546,g22331,1
GO:0016575,histone deacetylation,1/341,10/18215,0.172238346041717,0.444253736520544,0.351320080176546,g11081,1
GO:0043022,ribosome binding,1/341,10/18215,0.172238346041717,0.444253736520544,0.351320080176546,g34508,1
GO:0046961,proton-transporting ATPase activity, rotational mechanism,1/341,10/18215,0.172238346041717,0.444253736520544,0.351320080176546,g26883,1
GO:0006397,mRNA processing,2/341,42/18215,0.185445520871319,0.444253736520544,0.351320080176546,g12582/g41291,2
