ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0006816,calcium ion transport,18/973,54/18215,1.67426841367068e-10,5.82645407957398e-08,5.21666789943708e-08,g20393/g24913/g38251/g38252/g38253/g15648/g35657/g35658/g35659/g37390/g37392/g37394/g37395/g37396/g37397/g15031/g8621/g28360,18
GO:0006811,ion transport,45/973,320/18215,2.65098028865576e-09,4.61270570226103e-07,4.12994823916898e-07,g19152/g19169/g20231/g20502/g21014/g21516/g24263/g24589/g25540/g26028/g38234/g38253/g15648/g11695/g13406/g34636/g34665/g34784/g26371/g27266/g34260/g22943/g23311/g40323/g37899/g15238/g7116/g7117/g7692/g17551/g17793/g18404/g18529/g353/g735/g8968/g10814/g11132/g6757/g6805/g30990/g29482/g29854/g2618/g2620,45
GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,21/973,113/18215,4.97957117067298e-07,5.77630255798066e-05,5.17176514568141e-05,g25134/g25662/g38504/g27337/g27877/g33310/g22411/g36776/g37140/g37143/g7329/g7353/g17770/g618/g31236/g31444/g31540/g31551/g31554/g31556/g28730,21
GO:0007155,cell adhesion,32/973,235/18215,1.07667500441355e-06,9.36707253839786e-05,8.38673161332657e-05,g21003/g24500/g25134/g25662/g38504/g38985/g39627/g15959/g16524/g34445/g35142/g27877/g33310/g22411/g41242/g41582/g37140/g37143/g37448/g3758/g7329/g7353/g17770/g618/g31236/g31444/g31540/g31551/g31554/g30344/g28272/g28730,32
GO:0005886,plasma membrane,23/973,140/18215,1.40203345375921e-06,9.75815283816408e-05,8.73688215395211e-05,g25134/g25252/g25662/g38504/g39164/g27877/g32689/g33310/g22411/g37140/g37143/g7329/g7353/g17770/g18529/g618/g10204/g31236/g31444/g31540/g31551/g31554/g28730,23
GO:0005216,ion channel activity,34/973,268/18215,2.5638298177121e-06,0.000148702129427302,0.000133139232639085,g20231/g21014/g21516/g24263/g24589/g25540/g26028/g38234/g38253/g15648/g11695/g13406/g34665/g34784/g26371/g27266/g34260/g22943/g23311/g40323/g37899/g15238/g7116/g7692/g17551/g17793/g735/g8968/g6757/g6805/g29482/g29854/g2620/g2924,34
GO:0007416,synapse assembly,6/973,11/18215,8.38354654036743e-06,0.000416782028006838,0.000373162372323122,g38481/g15843/g15844/g15845/g35051/g10153,6
GO:0008017,microtubule binding,20/973,128/18215,1.4539340766715e-05,0.000632461323352103,0.000566269061440479,g39694/g39829/g16112/g16483/g16699/g35381/g27128/g22250/g41121/g41891/g37858/g7474/g1267/g9071/g10530/g5517/g5519/g5520/g5561/g2507,20
GO:0006813,potassium ion transport,22/973,152/18215,1.92424031039856e-05,0.000744039586687441,0.000666169744886517,g21014/g25540/g38234/g34665/g34784/g26371/g26627/g27266/g33104/g22943/g23311/g37336/g7484/g7562/g17551/g17793/g735/g736/g8968/g29482/g29854/g2887,22
GO:0070588,calcium ion transmembrane transport,14/973,72/18215,2.30066859423869e-05,0.000800632670795065,0.000716839898836477,g21516/g24263/g38252/g38253/g38406/g15648/g13406/g34860/g35659/g35916/g37394/g37397/g15238/g8621,14
