ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0006816,calcium ion transport,16/1311,54/18215,7.29047730635164e-07,0.000267560517143105,0.000226388505828814,g38251/g38252/g15648/g35657/g35658/g35659/g37390/g37391/g37392/g37393/g37394/g37395/g37396/g37397/g17470/g1264,16
GO:0005089,Rho guanyl-nucleotide exchange factor activity,22/1311,103/18215,3.2414826390808e-06,0.000594812064271326,0.00050328283080465,g38728/g39926/g16698/g35417/g35533/g35948/g36129/g33141/g22810/g23065/g41144/g41247/g36523/g37980/g37981/g3660/g8359/g18620/g9115/g5794/g31016/g1880,22
GO:0035023,regulation of Rho protein signal transduction,22/1311,107/18215,6.25848353989554e-06,0.000737265725294392,0.000623815829519133,g38728/g39926/g16698/g35417/g35533/g35948/g36129/g33141/g22810/g23065/g41144/g41247/g36523/g37980/g37981/g3660/g8359/g18620/g9115/g5794/g31016/g1880,22
GO:0005085,guanyl-nucleotide exchange factor activity,20/1311,93/18215,8.03559373617866e-06,0.000737265725294392,0.000623815829519133,g21344/g24418/g38728/g11899/g12432/g34469/g36129/g36317/g33141/g22810/g40830/g41247/g41523/g37399/g14089/g14627/g7085/g8359/g18620/g418,20
GO:0008017,microtubule binding,23/1311,128/18215,3.89370568377039e-05,0.00248127149983515,0.0020994553060415,g39694/g39829/g16483/g35381/g27128/g23461/g23664/g41121/g41275/g41891/g3676/g17998/g1267/g9071/g10530/g11306/g5517/g5519/g5520/g5561/g31504/g2507/g2983,23
GO:0070588,calcium ion transmembrane transport,16/1311,72/18215,4.14590574993491e-05,0.00248127149983515,0.0020994553060415,g21516/g24263/g38252/g38406/g39534/g15648/g13406/g35659/g35916/g37394/g37397/g15238/g7404/g1264/g9576/g28000,16
GO:0035556,intracellular signal transduction,42/1311,308/18215,4.73267043565287e-05,0.00248127149983515,0.0020994553060415,g20279/g20820/g21132/g24506/g24835/g25577/g38305/g38728/g39368/g16698/g12354/g13272/g13524/g36129/g27086/g27284/g32689/g33141/g33472/g33670/g22810/g23065/g41247/g41645/g41934/g37399/g37989/g3874/g3933/g4180/g4775/g14130/g14143/g8359/g18353/g18429/g18620/g9115/g10245/g5794/g30746/g28361,42
GO:0008092,cytoskeletal protein binding,10/1311,34/18215,9.55386447368861e-05,0.00438283532730465,0.00370840792070808,g15935/g32796/g41145/g4274/g17997/g10428/g10429/g5398/g5406/g5408,10
GO:0005887,integral component of plasma membrane,24/1311,149/18215,0.000160565903006483,0.00654752071148659,0.00553999314466813,g21192/g21467/g25840/g39618/g12492/g34510/g27701/g27904/g22200/g23163/g40792/g37463/g8353/g9521/g9636/g11055/g11107/g5393/g30990/g31430/g31908/g29518/g28272/g2864,24
GO:0005488,binding,47/1311,385/18215,0.000261121184814715,0.00958314748270005,0.00810849994950958,g19362/g19369/g19578/g20779/g21879/g25583/g38704/g16511/g16793/g12004/g12279/g12432/g13161/g13265/g26378/g26379/g33894/g33895/g40759/g41121/g41399/g41472/g41814/g37187/g37190/g37514/g4464/g4800/g18150/g18342/g18678/g18931/g418/g1356/g8735/g9324/g9377/g5147/g5447/g5992/g5993/g5994/g6106/g31230/g31518/g28353/g2434,47
GO:0048786,presynaptic active zone,7/1311,20/18215,0.000331278625025899,0.0104240774522624,0.0088200282472893,g24474/g38481/g15843/g15844/g15845/g35051/g35860,7
GO:0005262,calcium channel activity,8/1311,26/18215,0.000340841769556264,0.0104240774522624,0.0088200282472893,g38252/g15648/g35659/g37394/g37397/g7404/g1264/g28000,8
GO:0007416,synapse assembly,5/1311,11/18215,0.00061318788181728,0.0173107655866878,0.0146469979867285,g38481/g15843/g15844/g15845/g35051,5
GO:0004714,transmembrane receptor protein tyrosine kinase activity,9/1311,36/18215,0.000802772751709445,0.0210441142769547,0.0178058617860366,g15893/g11787/g12492/g23058/g41421/g41950/g4403/g662/g31343,9
GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,12/1311,59/18215,0.0008672271143424,0.0212181567309107,0.0179531227179655,g15893/g11787/g12492/g23058/g40792/g41421/g41950/g4403/g662/g11107/g31343/g2201,12
GO:0034993,meiotic nuclear membrane microtubule tethering complex,5/1311,12/18215,0.000989043925305614,0.0226861950366975,0.0191952603924445,g20297/g10469/g10471/g10472/g10473,5
GO:0051015,actin filament binding,12/1311,62/18215,0.0013705662189699,0.0295881060212913,0.0250351105013077,g20297/g24952/g38398/g15959/g12627/g22243/g10469/g10471/g10472/g10473/g31837/g28992,12
GO:0005635,nuclear envelope,5/1311,13/18215,0.00151237850478337,0.0308357172919721,0.0260907402871986,g20297/g10469/g10471/g10472/g10473,5
GO:0006811,ion transport,38/1311,320/18215,0.00161309927252936,0.0311582859483303,0.026363672321117,g19152/g20949/g21516/g24263/g24590/g25085/g25540/g26028/g39534/g15648/g11695/g12952/g13406/g34636/g26371/g34260/g23311/g23850/g37899/g13872/g15238/g7404/g17551/g17793/g343/g735/g1264/g9463/g9576/g6757/g30990/g29482/g29518/g29854/g30517/g30521/g28000/g2620,38
GO:0005216,ion channel activity,33/1311,268/18215,0.00175549047945458,0.0322132502979915,0.0272562995494263,g20949/g21516/g24263/g24590/g25085/g25540/g26028/g39534/g15648/g11695/g12952/g13406/g26371/g34260/g23311/g23850/g37899/g13872/g15238/g7404/g17551/g17793/g735/g1264/g9576/g6757/g29482/g29854/g30517/g30521/g28000/g2620/g2924,33
GO:0005856,cytoskeleton,18/1311,119/18215,0.00210394846621637,0.0367690041476861,0.0311110174202421,g24848/g15935/g15959/g26398/g27056/g32796/g41145/g4274/g17997/g18704/g556/g10428/g10429/g11264/g5398/g5406/g5408/g5519,18
GO:0004674,protein serine/threonine kinase activity,21/1311,155/18215,0.00373569908365263,0.0600352893125817,0.0507971041078779,g20279/g21506/g21866/g24430/g25881/g38704/g39543/g12952/g36156/g40369/g40521/g36910/g37320/g7802/g8223/g17608/g139/g10048/g10049/g5226/g2364,21
GO:0005543,phospholipid binding,6/1311,22/18215,0.0037624295754479,0.0600352893125817,0.0507971041078779,g20240/g37333/g7508/g18595/g191/g29015,6
GO:0003777,microtubule motor activity,14/1311,88/18215,0.00395655052119123,0.0605022517198826,0.0511922106908515,g39694/g39829/g35381/g27128/g33818/g23461/g41275/g37997/g3676/g10530/g11306/g5561/g2507/g2983,14
GO:0045202,synapse,5/1311,16/18215,0.00428018364102326,0.0628330958502215,0.0531643862779732,g21569/g38481/g15845/g35051/g26684,5
GO:0004713,protein tyrosine kinase activity,16/1311,108/18215,0.00446163640157394,0.0629777138222167,0.0532867505451138,g19565/g15893/g16559/g11787/g12492/g27596/g23058/g40792/g41421/g41950/g4403/g662/g11107/g31343/g30248/g2201,16
GO:0007018,microtubule-based movement,14/1311,90/18215,0.00486501933298298,0.0661282257483242,0.055952464063547,g39694/g39829/g35381/g27128/g33818/g23461/g41275/g37997/g3676/g10530/g11306/g5561/g2507/g2983,14
GO:0005158,insulin receptor binding,5/1311,17/18215,0.0057087279555262,0.074825112845647,0.0633110807097831,g4704/g7551/g10202/g28771/g28972,5
GO:0016579,protein deubiquitination,11/1311,65/18215,0.00629728784792825,0.0796932634548161,0.0674301239614822,g22619/g41406/g41472/g37274/g4800/g13840/g14593/g6919/g1010/g9065/g28975,11
GO:0036459,thiol-dependent ubiquitinyl hydrolase activity,10/1311,57/18215,0.00695745613507172,0.0851128800523774,0.0720157740296898,g22619/g41406/g41472/g37274/g4800/g13840/g14593/g6919/g9065/g28975,10
GO:0004970,ionotropic glutamate receptor activity,7/1311,33/18215,0.00802039487833674,0.0893503508740978,0.0756011860256959,g25085/g26028/g11695/g34260/g37899/g13872/g6757,7
GO:0001664,G protein-coupled receptor binding,4/1311,12/18215,0.00827768918179653,0.0893503508740978,0.0756011860256959,g20171/g12517/g41803/g15363,4
GO:0004143,diacylglycerol kinase activity,4/1311,12/18215,0.00827768918179653,0.0893503508740978,0.0756011860256959,g21132/g24506/g3874/g30746,4
GO:0007205,protein kinase C-activating G protein-coupled receptor signaling pathway,4/1311,12/18215,0.00827768918179653,0.0893503508740978,0.0756011860256959,g21132/g24506/g3874/g30746,4
GO:0016887,ATPase activity,14/1311,96/18215,0.00863700834846237,0.0905652018253055,0.0766290966254557,g21663/g24892/g12044/g33818/g41107/g37997/g3873/g17998/g1039/g5517/g5519/g5520/g5576/g31217,14
GO:0004707,MAP kinase activity,5/1311,19/18215,0.00951221688127932,0.0969717665397086,0.0820498239759473,g12025/g37179/g14120/g1026/g8973,5
GO:0046854,phosphatidylinositol phosphorylation,6/1311,27/18215,0.0109659140411613,0.106189981314328,0.08984954678826,g21879/g12279/g27765/g40759/g9324/g6795,6
GO:0000122,negative regulation of transcription by RNA polymerase II,4/1311,13/18215,0.0112844939271357,0.106189981314328,0.08984954678826,g26729/g33113/g14252/g5531,4
GO:0003714,transcription corepressor activity,4/1311,13/18215,0.0112844939271357,0.106189981314328,0.08984954678826,g33113/g34033/g9394/g5531,4
GO:0004843,thiol-dependent ubiquitin-specific protease activity,5/1311,21/18215,0.0147685435756415,0.127277855252751,0.107692434531942,g21716/g22632/g37273/g1010/g9065,5
GO:0005086,ARF guanyl-nucleotide exchange factor activity,5/1311,21/18215,0.0147685435756415,0.127277855252751,0.107692434531942,g38863/g35757/g18342/g18678/g189,5
GO:0032012,regulation of ARF protein signal transduction,5/1311,21/18215,0.0147685435756415,0.127277855252751,0.107692434531942,g38863/g35757/g18342/g18678/g189,5
GO:0016043,cellular component organization,4/1311,14/18215,0.0149126642394232,0.127277855252751,0.107692434531942,g19369/g4464/g31230/g31518,4
GO:0043547,positive regulation of GTPase activity,5/1311,22/18215,0.0180056359286397,0.149291059083864,0.126318263099784,g35757/g41934/g37187/g37190/g8827,5
GO:0008373,sialyltransferase activity,6/1311,30/18215,0.0183054432119179,0.149291059083864,0.126318263099784,g21550/g16859/g27816/g27818/g15093/g9058,6
GO:0005234,extracellularly glutamate-gated ion channel activity,6/1311,31/18215,0.0213553581017396,0.159116999133332,0.134632194878339,g25085/g26028/g11695/g34260/g37899/g13872,6
GO:0007268,chemical synaptic transmission,6/1311,31/18215,0.0213553581017396,0.159116999133332,0.134632194878339,g13349/g26684/g27284/g41645/g18680/g28361,6
