ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,58/4108,113/18215,2.08173437104003e-11,1.0762566698277e-08,9.81702103395721e-09,g21672/g25134/g25662/g25907/g38504/g39249/g39688/g15803/g15822/g12250/g34769/g35122/g35606/g27337/g27691/g27877/g27888/g33310/g34131/g22402/g22411/g41254/g36776/g37140/g37143/g37499/g37530/g4624/g7322/g7329/g7353/g7715/g7716/g7718/g17770/g18207/g18240/g18831/g18865/g455/g5152/g30862/g31046/g31236/g31444/g31524/g31525/g31538/g31540/g31547/g31551/g31552/g31554/g31556/g31566/g31574/g30307/g28730,58
GO:0005887,integral component of plasma membrane,66/4108,149/18215,2.92844049941285e-09,7.57001869098223e-07,6.90495444072084e-07,g21192/g21467/g38614/g39618/g39627/g15649/g15939/g16708/g16738/g12492/g12660/g34510/g34650/g35138/g35142/g35960/g27182/g27315/g27528/g27701/g27904/g32803/g32964/g22200/g23068/g23163/g23237/g40792/g41060/g41242/g36759/g36997/g37462/g37463/g3809/g4370/g4377/g4428/g7150/g7703/g7759/g8353/g17667/g17905/g8558/g8968/g9001/g9521/g10605/g10814/g10908/g11107/g6098/g30990/g31430/g31908/g31912/g29320/g29912/g30037/g28272/g28407/g29003/g29067/g2155/g2864,66
GO:0007155,cell adhesion,92/4108,235/18215,6.54563294214011e-09,1.12803074369548e-06,1.02892756423817e-06,g19710/g21003/g21672/g25134/g25237/g25662/g25907/g38504/g39249/g39627/g15803/g15822/g15885/g15959/g16479/g16480/g16531/g12256/g34445/g34769/g35122/g35142/g35606/g35713/g27137/g27691/g27877/g27888/g33310/g22402/g22411/g22863/g41242/g41254/g41582/g41583/g41760/g36997/g37140/g37143/g37448/g37530/g37555/g37849/g3539/g3758/g3761/g4428/g4547/g4624/g6935/g7329/g7353/g7605/g7619/g7703/g7715/g7716/g7718/g7759/g17770/g18207/g18831/g18865/g455/g704/g864/g9295/g9296/g6361/g30862/g31046/g31236/g31444/g31524/g31525/g31538/g31540/g31547/g31551/g31552/g31554/g31566/g31574/g31837/g30307/g30344/g28272/g28730/g2155/g2354/g2505,92
GO:0006811,ion transport,116/4108,320/18215,1.47425756063357e-08,1.90547789711889e-06,1.73807207148379e-06,g19151/g19152/g19170/g20231/g20674/g21014/g21516/g24263/g24462/g24467/g24589/g25085/g25540/g25703/g25704/g25752/g26026/g26028/g38190/g38234/g38237/g38253/g38655/g38730/g38982/g39291/g39395/g39428/g39429/g39859/g16245/g16565/g16788/g17321/g11695/g12645/g12660/g13406/g34636/g34665/g34784/g34916/g34987/g35153/g35247/g35248/g35258/g26371/g27013/g27266/g32864/g33125/g33195/g33781/g34030/g34260/g22943/g23311/g23812/g23814/g23850/g40323/g41322/g41325/g41327/g41621/g37455/g37535/g37899/g3887/g4499/g4561/g13872/g15008/g15238/g7116/g7117/g7405/g7692/g7694/g17551/g17793/g17847/g18404/g18529/g18888/g343/g353/g498/g735/g1264/g1398/g8968/g9463/g9574/g9576/g10814/g11132/g11196/g5897/g6757/g6805/g30990/g31455/g31515/g31588/g32047/g29482/g29854/g30517/g30521/g28000/g29067/g2618/g2620/g2622,116
GO:0005216,ion channel activity,99/4108,268/18215,5.69888892855592e-08,5.89265115212682e-06,5.3749520841959e-06,g19151/g19170/g20231/g20674/g21014/g21516/g24263/g24467/g24589/g25085/g25540/g25703/g25704/g25752/g26028/g38190/g38234/g38237/g38253/g38730/g39395/g39428/g39429/g39859/g16245/g16788/g17321/g11695/g12645/g12660/g13406/g34665/g34784/g34916/g34987/g35153/g35247/g35248/g35258/g26371/g27013/g27266/g32864/g33125/g33195/g33781/g34030/g34186/g34260/g22943/g23311/g23812/g23814/g23850/g40323/g41322/g41325/g41621/g37455/g37535/g37899/g3887/g4499/g4561/g13872/g15008/g15238/g7116/g7405/g7692/g7694/g17551/g17793/g18888/g498/g735/g1264/g1398/g8968/g9574/g9576/g11196/g5897/g6757/g6805/g31455/g31515/g31588/g32047/g29482/g29854/g30517/g30521/g28000/g28615/g28993/g2620/g2622/g2924,99
GO:0005886,plasma membrane,58/4108,140/18215,4.33717464340092e-07,3.73719881773046e-05,3.40886708814669e-05,g21672/g24462/g25134/g25252/g25662/g25907/g38504/g39164/g39249/g15803/g15822/g34769/g35122/g35606/g27691/g27877/g27888/g32689/g33310/g22402/g22411/g41254/g37140/g37143/g37530/g4624/g7329/g7353/g7715/g7716/g7718/g17770/g18207/g18529/g18831/g18865/g455/g555/g10204/g6038/g6501/g30862/g31046/g31236/g31444/g31524/g31525/g31538/g31540/g31547/g31551/g31552/g31554/g31566/g31574/g30307/g28730/g1817,58
GO:0006816,calcium ion transport,29/4108,54/18215,6.20951350717415e-07,4.5861692617272e-05,4.18325120483311e-05,g20393/g24311/g24913/g38251/g38252/g38253/g13246/g35258/g35657/g35658/g35659/g37390/g37391/g37392/g37393/g37394/g37395/g37396/g37397/g15031/g7681/g7795/g7933/g17470/g1264/g8621/g6748/g28360/g2017,29
GO:0004890,GABA-A receptor activity,16/4108,22/18215,7.87412724172059e-07,5.08865472996193e-05,4.6415907951195e-05,g19151/g19152/g19170/g38655/g41322/g41325/g41327/g7116/g7117/g7692/g7694/g11132/g32047/g2618/g2620/g2622,16
GO:0005003,ephrin receptor activity,14/4108,21/18215,1.94709083856642e-05,0.00101426621949385,0.000925157826190058,g38614/g35830/g35960/g27182/g27315/g27496/g40792/g41060/g36759/g4362/g4370/g8558/g11107/g5096,14
GO:0035556,intracellular signal transduction,101/4108,308/18215,2.08804632121197e-05,0.00101426621949385,0.000925157826190058,g19327/g20279/g20820/g21132/g22066/g24417/g24506/g24835/g24915/g25577/g25792/g38619/g38634/g38994/g39164/g39368/g16493/g16698/g12015/g12122/g12126/g13243/g13256/g13272/g13521/g13523/g13524/g34915/g34928/g35201/g35455/g26391/g26749/g26948/g26983/g27086/g27284/g32689/g33348/g33349/g33425/g33470/g33472/g33613/g33670/g34036/g22217/g22425/g22735/g22883/g41247/g41645/g41934/g41952/g36831/g37201/g37495/g37509/g37770/g37989/g3548/g3874/g3933/g4645/g4775/g4917/g4925/g13916/g14143/g14144/g15027/g7307/g7671/g17771/g18353/g18429/g18620/g18778/g384/g616/g767/g1205/g1352/g8622/g8934/g9115/g10245/g5794/g6038/g6292/g6501/g30746/g31222/g29657/g29834/g28078/g28361/g29013/g1817/g2868/g3373,101
