ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0005887,integral component of plasma membrane,35/1803,149/18215,9.39219977626773e-07,0.00040762147029002,0.000370744728010568,g21192/g38614/g39618/g15649/g16708/g16738/g12492/g12660/g34510/g35138/g35960/g27315/g27701/g27904/g32803/g32964/g33073/g22200/g23068/g23163/g40792/g41242/g36759/g37463/g3809/g4370/g8353/g9521/g10605/g11107/g30990/g31430/g31908/g28272/g2864,35
GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,27/1803,113/18215,1.13725299780481e-05,0.00237148070505802,0.00215693733785291,g25134/g38504/g39688/g12250/g35606/g27691/g33310/g22411/g41254/g37140/g37143/g37499/g7322/g7715/g7716/g7718/g18865/g30802/g31444/g31524/g31525/g31538/g31547/g31551/g31554/g31556/g28730,27
GO:0008017,microtubule binding,29/1803,128/18215,1.63927237676821e-05,0.00237148070505802,0.00215693733785291,g38105/g38426/g39694/g39828/g39829/g16483/g35381/g35974/g26572/g27128/g34146/g22817/g23461/g23661/g23664/g41121/g41275/g41891/g3676/g1267/g9071/g9510/g10456/g5517/g5519/g5520/g5561/g2507/g2983,29
GO:0017154,semaphorin receptor activity,11/1803,27/18215,2.51702098164783e-05,0.00263776295275441,0.00239912953500583,g21367/g21529/g21739/g38227/g38762/g38765/g38775/g35432/g35981/g26562/g4279,11
GO:0006811,ion transport,55/1803,320/18215,3.41772616798342e-05,0.00263776295275441,0.00239912953500583,g19152/g21014/g21516/g24263/g24462/g25540/g25704/g25752/g26028/g38237/g38982/g39428/g39534/g16245/g12645/g12660/g34636/g34669/g34784/g34987/g35153/g26371/g27266/g33125/g33787/g22943/g23311/g23814/g41322/g41325/g41621/g37535/g37899/g13872/g15238/g7692/g7694/g17551/g17793/g17847/g343/g353/g498/g735/g9463/g9574/g9576/g6757/g30990/g31710/g30517/g30521/g2493/g2618/g2620,55
GO:0005216,ion channel activity,48/1803,268/18215,3.64667689320886e-05,0.00263776295275441,0.00239912953500583,g21014/g21516/g24263/g25540/g25704/g25752/g26028/g38237/g39428/g39534/g16245/g12645/g12660/g34669/g34784/g34987/g35153/g26371/g27266/g33125/g33787/g34186/g22943/g23311/g23814/g41322/g41325/g41621/g37535/g37899/g13872/g15238/g7692/g7694/g17551/g17793/g498/g735/g9574/g9576/g6757/g31710/g30517/g30521/g28615/g2493/g2620/g2924,48
GO:0071526,semaphorin-plexin signaling pathway,10/1803,25/18215,7.12665655956583e-05,0.00441852706693081,0.00401879129298825,g21367/g21529/g21739/g38227/g38762/g38765/g38775/g35432/g35981/g26562,10
GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,16/1803,59/18215,0.000140170186035687,0.00760423259243604,0.00691629207412931,g38614/g16708/g12492/g35960/g27315/g23058/g23068/g40792/g41950/g36759/g4370/g4403/g7980/g662/g11107/g2201,16
GO:0005249,voltage-gated potassium channel activity,21/1803,97/18215,0.000445036802211916,0.0198408362180467,0.0180458733489389,g21014/g25540/g38237/g39428/g16245/g34669/g34784/g34987/g35153/g26371/g27266/g22943/g23311/g23814/g41621/g37009/g7484/g17551/g498/g735/g736,21
GO:0045202,synapse,7/1803,16/18215,0.00047016871451349,0.0198408362180467,0.0180458733489389,g21569/g38481/g15845/g35051/g26684/g26685/g37448,7
GO:0005086,ARF guanyl-nucleotide exchange factor activity,8/1803,21/18215,0.00056644928720677,0.0198408362180467,0.0180458733489389,g38863/g35757/g14413/g18342/g18678/g189/g355/g32019,8
GO:0032012,regulation of ARF protein signal transduction,8/1803,21/18215,0.00056644928720677,0.0198408362180467,0.0180458733489389,g38863/g35757/g14413/g18342/g18678/g189/g355/g32019,8
