Apoly_gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	gene_symbol	function_protein
Apoly004612	442.415021277353	-0.549565369467773	0.117958887674926	-4.65895686454996	3.17815785085314e-06	0.00752399733802751	g15794	CRY1_MOUSE	Cryptochrome-1
Apoly008365	37.7404333598721	-1.15634642598222	0.284116027474403	-4.06997956525492	4.70172616076477e-05	0.0446190238540377	g26439	MYC_CARAU	Transcriptional regulator Myc
Apoly008385	16.1605612558873	1.37166128496613	0.340398104231382	4.02957968306945	5.58766730222993e-05	0.049900408857687	g26498	LAMC2_HORSE	Laminin subunit gamma-2
Apoly011178	104.994869452735	-1.14211921845737	0.223482894555708	-5.11054423528897	3.21232083758632e-07	0.00210374891653528	g22879	CRY2_HUMAN	Cryptochrome-2
Apoly011180	171.561153081214	-1.13481029037106	0.273948952039259	-4.14241515407745	3.43667523684383e-05	0.0446190238540377	g22881	WDR76_XENLA	WD repeat-containing protein 76
Apoly013966	21.8398095733739	0.796297057982127	0.175067695178875	4.54850940471064	5.40272293368392e-06	0.0106147297478088	g37894	OAF_CHICK	Out at first protein homolog
Apoly014803	233.701662534046	0.73909690542145	0.179330586556383	4.12142133483221	3.7654204867538e-05	0.0446190238540377	g4664	SC5A3_MOUSE	Sodium/myo-inositol cotransporter
Apoly015127	85.4475579381469	-1.06998064219397	0.205276164021206	-5.21239593157748	1.86417149167324e-07	0.0018312688648452	g13795	S238A_DANRE	Mitochondrial glycine transporter A {ECO:0000255|HAMAP-Rule:MF_03064}
Apoly017376	184.211989402836	-0.660772080776312	0.146001344349482	-4.52579449675908	6.01690275893308e-06	0.0107467353186144	g17675	MOT9_MOUSE	Monocarboxylate transporter 9
Apoly018685	3594.61815833682	-0.726331356318881	0.176847304396749	-4.10711013547251	4.00640222581798e-05	0.0446190238540377	g798	H5_CHICK	Histone H5
Apoly018836	86.9132694866825	-1.33841741122879	0.279783007919538	-4.78376946899398	1.72037986568109e-06	0.00482861474586234	g995	PLBL1_MOUSE	Phospholipase B-like 1
Apoly019484	66.3891800274306	1.46200047006718	0.356732180628271	4.09831394378924	4.1617056808319e-05	0.0446190238540377	g8885	BIP_CHICK	Endoplasmic reticulum chaperone BiP {ECO:0000250|UniProtKB:P11021}
Apoly019552	37.9750699772005	-1.16741983155275	0.237118524217702	-4.92335989102615	8.50707914821653e-07	0.00288954855556258	g8977	MRC1_HUMAN	Macrophage mannose receptor 1
Apoly019788	182.926276039945	-0.632005950689671	0.117678189340773	-5.37062946184109	7.84622811451544e-08	0.00154154843765885	g9289	ARRD3_RAT	Arrestin domain-containing protein 3
Apoly024165	6.89343912485747	-1.97039934468385	0.400797902170395	-4.91619176151815	8.82439626068889e-07	0.00288954855556258	g28546	TRI39_RAT	E3 ubiquitin-protein ligase TRIM39
Apoly024211	231.710619393818	0.52054508743626	0.118127052217029	4.40665434095393	1.04979513317459e-05	0.0158656346011394	g28604	CCS_HUMAN	Copper chaperone for superoxide dismutase
