Apoly_gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	gene_symbol	function_protein
Apoly000006	144.478147798117	0.698695024725845	0.254683243806214	2.74338827432823	0.00608087371093169	0.0256339834648529	g18996	CAPR2_DANRE	Caprin-2
Apoly000042	71.6502404088356	-0.866807124386278	0.196368685097931	-4.41418204717311	1.01392612174038e-05	0.000482339140770779	g19152	GBRG1_MOUSE	Gamma-aminobutyric acid receptor subunit gamma-1
Apoly000049	705.837464338609	0.929858950896823	0.231108858093925	4.02346737622199	5.73475311562774e-05	0.00128913838058053	g19164	LTOR3_PAGMA	Ragulator complex protein LAMTOR3
Apoly000055	82.092218690303	-0.583701179506808	0.160576001363285	-3.63504617471605	0.000277930851393089	0.00341708850896121	g19170	GBRB1_HUMAN	Gamma-aminobutyric acid receptor subunit beta-1
Apoly000062	41.0044745170574	-0.76901050194277	0.217519461219623	-3.53536413537877	0.000407213590050225	0.00433867972001994	g19178	BACH2_MOUSE	Transcription regulator protein BACH2
Apoly000081	156.068209015595	-0.815135097610625	0.256664171427524	-3.17588190465766	0.00149381750064084	0.00996571559765387	g19249	DICER_DANRE	Endoribonuclease Dicer
Apoly000094	665.822478733999	0.540288678921654	0.12848829799364	4.20496408901296	2.61123613913741e-05	0.00081433264167671	g19268	WDR35_MOUSE	WD repeat-containing protein 35
Apoly000105	208.553811327491	0.606131084830622	0.161363541525193	3.7563075221424	0.000172438781767186	0.002543472031066	g19284	ST65G_MOUSE	STAGA complex 65 subunit gamma
Apoly000106	73.0431301757777	-0.790992485044501	0.227014127208139	-3.48433154699345	0.00049336791882108	0.00492344240154498	g19299	LRFN2_MACFA	Leucine-rich repeat and fibronectin type-III domain-containing protein 2
Apoly000114	273.583636792839	1.24098568724052	0.25805023285657	4.80908570979777	1.51622189075733e-06	0.00016458127893762	g19310	TR61B_HUMAN	tRNA (adenine(58)-N(1))-methyltransferase, mitochondrial
Apoly000137	310.926854126812	0.61140140334876	0.153065660618351	3.99437340079307	6.48655690502929e-05	0.00138673975531132	g19346	NRDE2_HUMAN	Protein NRDE2 homolog
Apoly000143	103.51139786778	0.666500472617436	0.199663935480435	3.33811146721962	0.000843499040418347	0.00688501273248827	g19357	MRPP3_HUMAN	Mitochondrial ribonuclease P catalytic subunit
Apoly000145	484.469740849372	0.560985475361333	0.154319067913343	3.63523110233112	0.000277731551246699	0.00341708850896121	g19359	IKBA_MOUSE	NF-kappa-B inhibitor alpha
Apoly000147	650.16020261865	-0.565455862022782	0.188644653196198	-2.99746561825256	0.00272234564585911	0.0148902908976041	g19362	RGPA1_HUMAN	Ral GTPase-activating protein subunit alpha-1
Apoly000150	114.921488665216	0.665341156823495	0.198999899600607	3.34342458543365	0.000827511826513138	0.00681111221428723	g19365	GEMI2_MOUSE	Gem-associated protein 2
Apoly000151	3779.44007826043	0.607883239105831	0.196287983352254	3.09689482119208	0.00195559246952343	0.0119663097543684	g19366	PININ_PONAB	Pinin
Apoly000152	46.2298242856703	-0.762491976776948	0.263293793019262	-2.89597399176503	0.0037798372522336	0.0185424375766875	g19367	FBX33_HUMAN	F-box only protein 33
Apoly000154	329.909577218101	-0.649089633668993	0.194223953775875	-3.34196488666898	0.000831875834373718	0.00683843703679517	g19369	DAAM2_HUMAN	Disheveled-associated activator of morphogenesis 2
Apoly000163	275.683632629982	0.695886844727358	0.188683879191636	3.68810969812945	0.000225926250920029	0.00301260447388605	g19383	GATA_DANRE	Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial {ECO:0000255|HAMAP-Rule:MF_03150}
Apoly000167	73.833143144721	-0.564384587078177	0.190761140617376	-2.95859306172951	0.00309046911607731	0.0162609659141861	g19387	PXDN_XENTR	Peroxidasin
Apoly000169	109.099657441611	0.72861094968101	0.223080292463912	3.2661376835826	0.00109025225977922	0.00806934346606374	g19394	EIPR1_GEKJA	EARP-interacting protein homolog {ECO:0000250|UniProtKB:Q5PPK9}
Apoly000181	31.8808330511123	-0.906083004641934	0.241481350198999	-3.75218626156948	0.000175299141539829	0.00257658301252995	g19408	DAPLE_HUMAN	Protein Daple
Apoly000182	17.179827458501	-0.798333017978018	0.234654782929489	-3.40215958102975	0.000668555872611385	0.00594080381239072	g19409	DAPLE_MOUSE	Protein Daple
Apoly000186	203.904217778006	0.73268803482319	0.199924097868314	3.66483101654808	0.000247501943887699	0.00318446017783996	g19413	LDAH_CHICK	Lipid droplet-associated hydrolase {ECO:0000250|UniProtKB:Q8BVA5}
Apoly000190	54.8701055530107	-0.759685718616789	0.283396330962819	-2.68064768529575	0.0073479832671932	0.029437611500496	g19418	NR3AA_DANRE	Neurexin-3a
Apoly000203	140.686465159262	0.728119860969397	0.204938428448961	3.55287130129785	0.000381050840186255	0.00413619108129246	g19496	ADH1_GADMC	Alcohol dehydrogenase 1
Apoly000222	40.3086173507907	-0.515852130642729	0.186391959459657	-2.76756643440073	0.00564765334715697	0.0244135193204825	g19522	FBLN5_BOVIN	Fibulin-5
Apoly000224	128.288457634947	-0.662457562737318	0.188394638247969	-3.51632917421661	0.000437558128031891	0.00455816783745629	g19525	SRTD4_HUMAN	SERTA domain-containing protein 4
Apoly000242	8789.94638829157	0.94105174380331	0.23586770374884	3.98974394902904	6.61446598133078e-05	0.001403395390229	g19552	RSRP1_DANRE	Arginine/serine-rich protein 1
Apoly000243	1099.51429463247	0.660481250651557	0.175313987666866	3.76741901454329	0.000164944023479225	0.00249354291302594	g19553	SYF2_DANRE	Pre-mRNA-splicing factor syf2
Apoly000246	8541.76702130051	0.535397936944043	0.159599805563175	3.35462775192489	0.000794718479080619	0.00665184405880615	g19562	TDH_BOVIN	L-threonine 3-dehydrogenase, mitochondrial {ECO:0000305}
Apoly000247	35.5313463009792	1.19418607618548	0.28931568879789	4.12762294760903	3.66532468872818e-05	0.000971616953099882	g19563	MTMR9_MOUSE	Myotubularin-related protein 9
Apoly000254	185.26602194633	0.776406284916903	0.216154860778894	3.59189833677204	0.000328277920328479	0.00379332987889961	g19570	PPIE_MOUSE	Peptidyl-prolyl cis-trans isomerase E
Apoly000259	176.573851320954	0.693535861283807	0.195103545640556	3.55470659954856	0.000378401092006026	0.00411424806565711	g19575	GALE_BOVIN	UDP-glucose 4-epimerase {ECO:0000250|UniProtKB:Q14376}
Apoly000270	186.923239722193	0.547731125751243	0.175329234347974	3.12401481583024	0.00178401473498388	0.0112630261883767	g19595	MOCS3_DANRE	Adenylyltransferase and sulfurtransferase MOCS3 {ECO:0000255|HAMAP-Rule:MF_03049}
Apoly000283	45.8639404252127	-0.74722347231551	0.183971508895441	-4.06162604634716	4.87320946604828e-05	0.00115632785482428	g19613	CD109_HUMAN	CD109 antigen
