file_name	sample	fam	rep	generation	treatment	parental_phenotype	parental_treatment	experiment	phenotype	Perc.time_in_CAC	RNAseq	RNAseq.fastq	coverage	other_info
P_31_F	P_31_F	31	P_F	mum	-	-	control	f0	tolerant	NA	-	-	27.1	-
P_31_M	P_31_M	31	P_M	dad	-	-	control	f0	tolerant	NA	-	-	34.6	-
FL-31-B1	FL_31_B1	31	FL_B1	f1	acute	tolerant	control	flumed	uncertain	14.6	-	-	8.7	-
FL-31-B2	FL_31_B2	31	FL_B2	f1	acute	tolerant	control	flumed	uncertain	39.6	-	-	13.2	-
FL-31-B3	FL_31_B3	31	FL_B3	f1	acute	tolerant	control	flumed	uncertain	60.4	-	-	21.3	-
FL-31-B4	FL_31_B4	31	FL_B4	f1	acute	tolerant	control	flumed	tolerant	0	-	-	6.5	-
FL-31-B5	FL_31_B5	31	FL_B5	f1	acute	tolerant	control	flumed	uncertain	87.5	-	-	14.6	-
FL-31-C1	FL_31_C1	31	FL_C1	f1	control	tolerant	control	flumed	uncertain	27.1	-	-	18	-
FL-31-C2	FL_31_C2	31	FL_C2	f1	control	tolerant	control	flumed	uncertain	10.4	-	-	13.8	-
FL-31-C3	FL_31_C3	31	FL_C3	f1	control	tolerant	control	flumed	uncertain	12.5	-	-	20.9	-
FL-31-C4	FL_31_C4	31	FL_C4	f1	control	tolerant	control	flumed	uncertain	27.1	-	-	18	-
FL-31-C5	FL_31_C5	31	FL_C5	f1	control	tolerant	control	flumed	uncertain	29.2	-	-	20.7	-
FL-31-H1	FL_31_H1	31	FL_H1	f1	developmental	tolerant	control	flumed	uncertain	43.8	-	-	13.5	-
FL-31-H2	FL_31_H2	31	FL_H2	f1	developmental	tolerant	control	flumed	uncertain	45.8	-	-	17.3	-
FL-31-H3	FL_31_H3	31	FL_H3	f1	developmental	tolerant	control	flumed	uncertain	54.2	-	-	21.1	-
FL-31-H4	FL_31_H4	31	FL_H4	f1	developmental	tolerant	control	flumed	uncertain	50	-	-	18.2	-
FL-31-H5	FL_31_H5	31	FL_H5	f1	developmental	tolerant	control	flumed	uncertain	45.8	-	-	21.4	-
31-B1	31_B1	31	B1	f1	acute	tolerant	control	growouts	NA	NA	-	-	21.1	-
31-B2	31_B2	31	B2	f1	acute	tolerant	control	growouts	NA	NA	-	-	8.4	-
31-B3	31_B3	31	B3	f1	acute	tolerant	control	growouts	NA	NA	yes	31.1.B3	19.5	-
31-B4	31_B4	31	B4	f1	acute	tolerant	control	growouts	NA	NA	yes	31.1.B4	15.9	-
31-B5	31_B5	31	B5	f1	acute	tolerant	control	growouts	NA	NA	yes	31.1.B5	5.9	-
31_C1	31_C1	31	C1	f1	control	tolerant	control	growouts	NA	NA	yes	31-1_C1	33.6	-
31-C2	31_C2	31	C2	f1	control	tolerant	control	growouts	NA	NA	-	-	21.1	-
31_C3	31_C3	31	C3	f1	control	tolerant	control	growouts	NA	NA	yes	31-1_C3	34.6	-
31_C4	31_C4	31	C4	f1	control	tolerant	control	growouts	NA	NA	yes	31-1_C4	29.6	-
31-C5	31_C5	31	C5	f1	control	tolerant	control	growouts	NA	NA	-	-	17.3	-
31-H1	31_H1	31	H1	f1	developmental	tolerant	control	growouts	NA	NA	yes	31-1_H1	16.7	-
31-H2	31_H2	31	H2	f1	developmental	tolerant	control	growouts	NA	NA	-	-	18.1	-
31-H3	31_H3	31	H3	f1	developmental	tolerant	control	growouts	NA	NA	-	-	19.5	-
31-H4	31_H4	31	H4	f1	developmental	tolerant	control	growouts	NA	NA	yes	31-1_H4	20.6	-
31-H5	31_H5	31	H5	f1	developmental	tolerant	control	growouts	NA	NA	yes	31-1_H5	17.2	-
P_33_F	P_33_F	33	P_F	mum	-	-	control	f0	sensitive	NA	-	-	37.6	-
P_33_M	P_33_M	33	P_M	dad	-	-	control	f0	sensitive	NA	-	-	35.1	-
FL-33-B1	FL_33_B1	33	FL_B1	f1	acute	sensitive	control	flumed	uncertain	41.7	-	-	18.4	-
FL-33-B2	FL_33_B2	33	FL_B2	f1	acute	sensitive	control	flumed	uncertain	45.8	-	-	17.9	-
FL-33-B3	FL_33_B3	33	FL_B3	f1	acute	sensitive	control	flumed	uncertain	50	-	-	19.1	-
FL-33-B5	FL_33_B5	33	FL_B5	f1	acute	sensitive	control	flumed	uncertain	18.8	-	-	5.2	-
FL-33-C1	FL_33_C1	33	FL_C1	f1	control	sensitive	control	flumed	uncertain	50	-	-	19.4	-
FL-33-C2	FL_33_C2	33	FL_C2	f1	control	sensitive	control	flumed	uncertain	22.9	-	-	20.8	-
FL-33-C3	FL_33_C3	33	FL_C3	f1	control	sensitive	control	flumed	uncertain	12.5	-	-	15.5	-
FL-33-C4	FL_33_C4	33	FL_C4	f1	control	sensitive	control	flumed	uncertain	50	-	-	16.2	-
FL-33-C5	FL_33_C5	33	FL_C5	f1	control	sensitive	control	flumed	tolerant	6.2	-	-	20	-
FL-33-H1	FL_33_H1	33	FL_H1	f1	developmental	sensitive	control	flumed	tolerant	0	-	-	15	-
FL-33-H2	FL_33_H2	33	FL_H2	f1	developmental	sensitive	control	flumed	uncertain	50	-	-	14.6	-
FL-33-H3	FL_33_H3	33	FL_H3	f1	developmental	sensitive	control	flumed	uncertain	50	-	-	6.3	-
