ID,p_value_acute_sensitive_devo_sensitive,p_value_acute_tolerant_devo_tolerant,p_value_control_sensitive_acute_sensitive,p_value_control_sensitive_devo_sensitive,p_value_control_tolerant_acute_tolerant,p_value_control_tolerant_control_sensitive,p_value_control_tolerant_developmental_tolerant,p_value_control_tolerant_trans_tolerant,p_value_trans_sensitive_acute_sensitive,p_value_trans_sensitive_devo_sensitive,p_value_trans_tolerant_acute_tolerant,p_value_trans_tolerant_devo_tolerant
GO:0007155,1.07026199360635e-09,0.125242640625605,0.000118641693331004,0.0494260294792598,0.0029227375201702,1,0.99954570946608,0.791989539026764,9.36707253839786e-05,0.559712927126108,1.12803074369548e-06,0.0430249162209543
GO:0005886,0.000272048039487972,0.581557816160293,0.000118641693331004,0.218768049723206,0.00696019616681116,1,0.99954570946608,0.384402037813634,9.75815283816408e-05,0.596542213335054,3.73719881773046e-05,0.0562500539452883
GO:0007156,0.000272048039487972,0.651463234036273,0.00020995699861096,0.137502214930764,9.1865832519063e-05,1,0.677603280902218,0.602328200782789,5.77630255798066e-05,0.438788876190058,1.0762566698277e-08,0.00237148070505802
GO:0005887,0.0668919304492131,0.332568559277156,8.12361458591367e-06,0.00463667941105639,0.0287181578512711,1,0.508643050430057,0.6567445849162,0.00307239188194231,0.00654752071148659,7.57001869098223e-07,0.00040762147029002
GO:0008305,0.0957120052749181,0.0487902967568852,0.915428161406331,0.120563933924774,0.818197420356188,1,0.99954570946608,1,0.364801065783024,0.790678665603615,0.999997775593232,0.999976806097886
GO:0005540,0.183419811751866,0.619622088970148,0.0197400204542227,0.805765952458333,0.265699442138787,1,0.474307082418996,1,0.189317213928513,0.908633007693453,0.109064485393359,0.594508268713519
GO:0007160,0.242541593893115,0.0413423257643332,0.83581535593121,0.843297561747355,0.999997796198151,1,1,1,0.933629805924327,1,0.999997775593232,1
GO:0008092,0.458778465572147,1,0.100194625512878,0.00463667941105639,0.313171965956467,1,0.0619691988712006,1,0.0925541070145018,0.00438283532730465,0.431473645932433,0.342670501203587
GO:0046961,0.038328467655378,0.180997647497619,0.345956556941989,1,0.953892020648183,0.172238346041717,1,1,0.422537105893615,1,0.696365725120748,1
GO:0006811,0.487327736246416,0.581557816160293,5.82954680121867e-06,0.230508964555071,7.52352031574763e-05,0.983840769084511,0.99954570946608,1,4.61270570226103e-07,0.0311582859483303,1.90547789711889e-06,0.00263776295275441
GO:0003714,0.541083889413445,0.581557816160293,0.83581535593121,0.0462957408929512,0.999997796198151,1,0.99954570946608,1,0.586798533978478,0.106189981314328,0.999997775593232,0.567637009715309
GO:0006836,0.552224633298943,0.780297196346577,0.003997819566181,0.137502214930764,0.467509214074551,1,0.942139580178776,1,0.0216370811251945,0.186188070358071,0.681057273943958,0.250780434010282
GO:0005856,0.552224633298943,0.944207878917828,0.828049436315882,0.0129882242617236,0.767727073823959,0.943062311699752,0.677603280902218,1,0.338216897036483,0.0367690041476861,0.681057273943958,0.434595182275518
GO:0006955,0.552224633298943,0.00148033549295688,0.997324336069015,0.999810932751956,0.364183210601125,0.824372604244547,0.99954570946608,0.607555483941815,0.996347996200691,0.999980723844095,0.590913232493985,0.999976806097886
GO:0004714,0.568406630333015,1,0.74914794343039,0.00488941652490983,0.999997796198151,1,0.490675129250864,1,0.545519600662406,0.0210441142769547,0.349402999939715,0.228675093867649
GO:0007169,0.594163199617763,1,0.0933225954754009,0.00697729615036833,0.236647934567501,1,0.0559254205956024,1,0.257446339395259,0.0212181567309107,0.00101426621949385,0.00760423259243604
GO:0005216,0.642541800476216,0.866619358543999,0.00170036943976775,0.421610980549338,0.000190022319522258,0.967266037401156,0.99954570946608,1,0.000148702129427302,0.0322132502979915,5.89265115212682e-06,0.00263776295275441
GO:0005328,0.693931639574307,0.767637712986958,0.0075513364989933,0.188593379915243,0.783853514788292,1,0.942139580178776,1,0.093039354833715,0.221553572073176,0.70197801852436,0.427775073597756
GO:0005783,0.693931639574307,0.661913150666601,0.83581535593121,0.843297561747355,0.965053327450533,0.441294215606493,0.99954570946608,1,0.0213326008965523,0.89323317338175,0.999997775593232,0.999976806097886
GO:0006813,0.693931639574307,0.764739011198835,0.003997819566181,0.843297561747355,0.0095018020610535,0.959619510072936,0.99954570946608,1,0.000744039586687441,0.902585502448447,0.00941430483090033,0.116439214356661
GO:0003707,0.693931639574307,0.866619358543999,0.0454724595014912,0.0681984904090801,0.999997796198151,0.85859746166782,0.99954570946608,0.537031168352982,0.933629805924327,0.378706617657733,0.550559148446,0.545786119893937
GO:0007229,0.693931639574307,0.0246214948379294,0.83581535593121,1,0.765611801734656,1,1,1,0.933629805924327,1,0.999997775593232,1
GO:0045892,0.282517630907712,1,0.753901587472829,0.845105169150818,0.524895461681318,0.464308673994088,0.900782932016742,0.00107943916650274,1,0.697675476369156,0.988017501391362,0.647473290451897
GO:0005200,0.693931639574307,0.716021157988974,0.948794569682053,0.218768049723206,0.736682459139963,0.00192647105638603,0.490675129250864,0.0488252674194945,0.996347996200691,0.438788876190058,0.999997775593232,0.781073438258812
GO:0001664,0.693931639574307,1,1,0.0367073376153785,0.659077719196474,1,0.677603280902218,1,1,0.0893503508740978,0.828400009723017,0.0746021559784308
GO:0004143,0.693931639574307,1,1,0.497980497041051,0.00306055112114368,0.444253736520544,0.461801999039136,1,0.548689435430556,0.0893503508740978,0.0259480301215963,0.820045101017266
GO:0007205,0.693931639574307,1,1,0.497980497041051,0.00306055112114368,0.444253736520544,0.461801999039136,1,0.548689435430556,0.0893503508740978,0.0259480301215963,0.820045101017266
GO:0007017,0.693931639574307,0.724623052649256,1,0.981172753143799,0.999997796198151,0.00192647105638603,0.508643050430057,0.0488252674194945,1,0.999980723844095,0.999997775593232,0.999976806097886
GO:0046933,0.363905652561582,0.24388868469638,0.448150996765748,1,0.75947909188891,0.027410880423279,0.657053131815058,1,0.536450613409089,1,0.64275631798807,1
GO:0005249,0.693931639574307,1,0.003997819566181,0.863509623103635,0.0287181578512711,0.908421987897647,0.99954570946608,1,0.00151251584974333,0.704893825168668,0.0179460727421406,0.0198408362180467
GO:0016746,0.398862623965792,0.052862890443414,0.538567380293147,0.0850546314543962,0.141173586020463,1,0.336788478497263,1,0.905898384584607,0.0324683483355554,0.373279053029513,0.423637512844046
GO:0070588,0.706533056402997,1,0.00127465226393219,0.00488941652490983,0.0654004932391031,0.857353659012073,0.942139580178776,1,0.000800632670795065,0.00248127149983515,0.00131311014387114,0.479240568874923
GO:0005089,0.708724205288416,0.775498636403103,0.961080585964936,0.00492157183197328,0.223542204529603,1,0.99954570946608,1,0.996347996200691,0.000594812064271326,0.0429624964770629,0.148568892218328
GO:0035023,0.725872747668787,0.780297196346577,0.96663161300694,0.00644939737836691,0.236647934567501,1,0.953823128249209,1,0.996347996200691,0.000737265725294392,0.0759271657169588,0.188673025272011
GO:0005230,0.725872747668787,0.481222632229998,0.0538506201531114,0.999810932751956,0.169840525926018,1,0.99954570946608,1,0.0925541070145018,0.929924790557097,0.0429624964770629,0.435908558595616
GO:0005003,0.749832258128075,1,0.331245752467709,0.908022643291949,0.0555322209291314,1,0.0980212512353282,1,0.911714095195441,0.908633007693453,0.00101426621949385,0.0605289476484741
GO:0005452,0.749832258128075,0.481222632229998,0.000630970647726153,0.805765952458333,0.409560806062511,1,0.942139580178776,1,0.0108010119270417,0.908633007693453,0.109064485393359,0.356853731364875
GO:0019882,0.749832258128075,0.00159406113546815,1,1,0.142227574392665,1,0.99954570946608,1,0.976206813976444,1,0.452295476376898,1
GO:0005874,0.750124008257377,0.780297196346577,0.83581535593121,0.805765952458333,0.406303402202085,0.00888596779398679,0.127786010043401,0.0822536082643556,0.938114640534488,0.787264169861622,0.561089210271783,0.871112068381155
GO:0004890,0.753910476258639,0.481222632229998,0.003997819566181,1,0.0090680695922016,1,0.490675129250864,1,0.00273137405067615,0.908633007693453,5.08865472996193e-05,0.0244670984341901
GO:0004435,0.762647682177939,0.627988231374324,0.358223561434697,0.188593379915243,0.0478005136029241,1,0.942139580178776,1,0.545519600662406,0.159116999133332,0.0858529966202629,0.679160936989659
GO:0016459,0.762647682177939,0.901814857679009,0.981894787110992,0.0363706611121246,0.878227437584474,1,0.99954570946608,0.556149294258951,0.998851628536863,0.159116999133332,0.936343300240052,0.594508268713519
GO:0003774,0.763413269704143,0.901814857679009,0.982639977823979,0.0367073376153785,0.906690606190284,1,0.99954570946608,0.556149294258951,0.998851628536863,0.165889500030041,0.963332525371346,0.618937425234595
GO:0003777,0.763413269704143,1,0.83581535593121,0.0367073376153785,0.906690606190284,1,0.99954570946608,1,0.0821830796385942,0.0605022517198826,0.896218317838307,0.0525626551571621
GO:0007018,0.763413269704143,1,0.841858315187782,0.041679512746594,0.999997796198151,1,0.99954570946608,1,0.183612472683215,0.0661282257483242,0.999997775593232,0.107058088676689
GO:0071526,0.763413269704143,1,0.0075513364989933,0.0069240462558771,0.313171965956467,1,0.642479769997586,1,0.093039354833715,0.186188070358071,0.0254983238819939,0.00441852706693081
GO:0005262,0.763413269704143,1,0.0454724595014912,0.0328880623173496,0.356807560900407,0.271591551286391,0.677603280902218,1,0.0303784982075361,0.0104240774522624,0.170012171688379,0.949208329021205
GO:0003779,0.763413269704143,0.775498636403103,0.840390725810043,0.0166588570530126,0.999997796198151,1,0.99954570946608,1,0.962778544320018,0.221111336412498,0.999997775593232,0.342508282124282
GO:0017154,0.763413269704143,1,0.0107433794627585,0.009035492142657,0.281285835156236,1,0.718667852074233,1,0.119247653318079,0.221553572073176,0.0179460727421406,0.00263776295275441
GO:0051015,0.763413269704143,0.62153149504905,0.83581535593121,0.00488941652490983,0.659077719196474,1,0.99954570946608,1,0.311645368764816,0.0295881060212913,0.133873649795475,0.0244670984341901
GO:0006820,0.763413269704143,0.581557816160293,0.00277511541255429,0.843297561747355,0.818197420356188,1,0.99954570946608,1,0.0435644840916981,0.908633007693453,0.452295476376898,0.591119163345928
GO:0003824,0.763413269704143,0.914207890511267,0.840390725810043,0.999810932751956,0.0744964144627872,0.00192647105638603,0.508643050430057,0.0894035223561158,0.941167446833781,0.999980723844095,0.946629688151869,0.962589637871514
GO:0005234,0.76720318557255,0.581557816160293,0.247281301236034,0.699129325897548,0.000190022319522258,1,0.99954570946608,1,0.00367551772307372,0.159116999133332,0.00941430483090033,0.679160936989659
GO:0007411,0.76720318557255,1,0.601494765554827,0.699129325897548,0.466638854983106,1,0.99954570946608,1,0.996347996200691,0.559712927126108,0.00941430483090033,0.267592905767909
GO:0004970,0.774957517402126,0.581557816160293,0.0933225954754009,0.424692680247008,0.000190022319522258,1,0.99954570946608,1,0.00130100229991667,0.0893503508740978,0.00745839319168749,0.50233705582657
GO:0005737,0.824475439087827,0.765479712817567,0.986762536625984,0.17536369227648,0.765611801734656,0.0047419249356903,0.461801999039136,0.0894035223561158,0.911714095195441,0.890409277705167,0.721886126895461,0.871112068381155
GO:0004674,0.824475439087827,0.767637712986958,0.512251737272165,0.0134051859171657,0.0029227375201702,0.879073113655969,0.942139580178776,0.412816933694533,0.0928969845877823,0.0600352893125817,0.00159794253929014,0.0562500539452883
GO:0035556,0.858912460332476,0.764739011198835,0.935453398333633,0.00839187238114044,0.0540886318038083,0.959436859699399,0.942139580178776,0.464339154458305,0.946379629351266,0.00248127149983515,0.00101426621949385,0.116439214356661
GO:0051082,0.863575968378337,1,0.977402813824393,1,0.999997796198151,0.0189001027047046,0.99954570946608,1,0.998851628536863,1,0.999997775593232,0.999976806097886
GO:0003924,0.871642594350844,0.692568685236819,0.997324336069015,0.843297561747355,0.999997796198151,0.00192647105638603,0.942139580178776,0.0894035223561158,0.998851628536863,0.965735377265104,0.999997775593232,0.999976806097886
GO:0006816,0.884175695810088,0.780297196346577,0.0018221285389236,0.000279250666387843,0.00696019616681116,0.803219031818761,0.0980212512353282,1,5.82645407957398e-08,0.000267560517143105,4.5861692617272e-05,0.0198408362180467
GO:0003723,0.884175695810088,0.651463234036273,0.96663161300694,0.994877664014949,0.0305044945027972,0.00288428399458984,0.233368664437568,1,0.996347996200691,0.999980723844095,0.896218317838307,0.999976806097886
