Apoly_gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	gene_symbol	function_protein	threshold_OE
Apoly000049	705.837464338609	0.729233230094799	0.231200999581651	3.15410933090392	0.0016098876198987	0.045634801287426	g19164	LTOR3_PAGMA	Ragulator complex protein LAMTOR3	TRUE
Apoly000105	208.553811327491	0.538110763801	0.162158321183555	3.31842831051443	0.000905255566071936	0.0442388915546969	g19284	ST65G_MOUSE	STAGA complex 65 subunit gamma	TRUE
Apoly000137	310.926854126812	0.527898729812241	0.153602966733491	3.43677430871614	0.00058868591229412	0.0422007710357574	g19346	NRDE2_HUMAN	Protein NRDE2 homolog	TRUE
Apoly000143	103.51139786778	0.641198488903193	0.201143999621112	3.18775847209461	0.00143380247074247	0.0451691210352357	g19357	MRPP3_HUMAN	Mitochondrial ribonuclease P catalytic subunit	TRUE
Apoly000150	114.921488665216	0.648234210690448	0.20035008583523	3.23550752667789	0.00121426684035876	0.044662705147411	g19365	GEMI2_MOUSE	Gem-associated protein 2	TRUE
Apoly000164	122.444846168875	0.662185396169139	0.213270890093175	3.10490285795609	0.00190341526140391	0.0465881683551307	g19384	RT4I1_DANRE	Reticulon-4-interacting protein 1 homolog, mitochondrial	TRUE
Apoly000243	1099.51429463247	0.660192813803012	0.175482533278533	3.76215684529199	0.000168454347665141	0.0419361554427425	g19553	SYF2_DANRE	Pre-mRNA-splicing factor syf2	TRUE
Apoly000296	738.939931047102	0.600765704463934	0.195960490259692	3.06574913987908	0.00217125401191256	0.0489240078432062	g19630	IFI27_HUMAN	Interferon alpha-inducible protein 27, mitochondrial {ECO:0000305}	TRUE
Apoly000372	99.9158243675811	0.877916167150977	0.281535610340024	3.11831304782609	0.00181889495566543	0.0465086597523357	g19733	LIN52_ONCMY	Protein lin-52 homolog	TRUE
Apoly000400	91.3068289354952	2.74022369225159	0.549505847355476	4.98670524697609	6.14176552369875e-07	0.00879132317062239	g19777	NEK9_HUMAN	Serine/threonine-protein kinase Nek9	TRUE
Apoly000464	94.9054351588839	-0.710188835229986	0.201216310133815	-3.52947946793026	0.000416378012167756	0.0422007710357574	g19858	LRRC9_MOUSE	Leucine-rich repeat-containing protein 9	TRUE
Apoly000546	151.61963811011	-0.653711892811378	0.207503270673115	-3.15036910353662	0.00163064308306304	0.045634801287426	g19987	BEGIN_HUMAN	Brain-enriched guanylate kinase-associated protein	TRUE
Apoly000623	55.1652722364116	0.958611384050344	0.24830515076988	3.86061819933309	0.000113100512637017	0.0414360806636898	g20107	TGFA1_BOVIN	Transforming growth factor-beta receptor-associated protein 1	TRUE
Apoly000634	3084.70911228838	0.80167797397083	0.245641158030776	3.26361421024724	0.00110000838460562	0.044662705147411	g20122	FABP7_HUMAN	Fatty acid-binding protein, brain	TRUE
Apoly000676	342.869424649815	0.638357728650771	0.175598235495619	3.63533111166541	0.000277623825017662	0.0422007710357574	g20177	YJU2_HUMAN	Splicing factor YJU2 {ECO:0000255|HAMAP-Rule:MF_03226}	TRUE
