Apoly_gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	gene_symbol	function_protein
Apoly000283	45.8639404252127	-0.902055861223337	0.185800381542607	-4.8549731369442	1.20403064274034e-06	0.000859620843183433	g19613	CD109_HUMAN	CD109 antigen
Apoly000676	342.869424649815	0.609797462965403	0.175598354024597	3.47268325123359	0.000515283102126875	0.0455703493443455	g20177	YJU2_HUMAN	Splicing factor YJU2 {ECO:0000255|HAMAP-Rule:MF_03226}
Apoly001115	48.193049615914	-0.569432859471908	0.152827509884519	-3.72598401886015	0.000194554731078012	0.0291777381598032	g21007	CPED1_HUMAN	Cadherin-like and PC-esterase domain-containing protein 1
Apoly001468	497.832520796149	-0.756608300510551	0.180136734469405	-4.20018883288381	2.66692460781728e-05	0.00838599626680324	g21606	APAF_DANRE	Apoptotic protease-activating factor 1
Apoly001567	236.048287033231	0.735599488914563	0.2056502380824	3.57694450428899	0.00034763394020898	0.036892651904678	g21770	CL066_DANRE	KICSTOR complex protein C12orf66 homolog {ECO:0000305}
Apoly001714	163.602200547208	-0.774527116769828	0.199914852851197	-3.87428500545847	0.000106938203424482	0.0195248461736312	g22034	MGST1_MOUSE	Microsomal glutathione S-transferase 1
Apoly002153	3203.1887203789	0.838870826641975	0.232241380989267	3.61206440931706	0.000303769088814942	0.0345147922023555	g24697	K1C19_MOUSE	Keratin, type I cytoskeletal 19
Apoly002234	86.11797221535	1.11364435402801	0.256313853986472	4.34484651027403	1.39373080436159e-05	0.00591638726451496	g24787	MYBPP_RAT	MYCBP-associated protein
Apoly002243	21443.9331263818	0.62621537740697	0.161255144927272	3.88338231123974	0.000103013403456348	0.0192216218757009	g24796	TBB4B_MOUSE	Tubulin beta-4B chain
Apoly002281	332.050591651889	-0.539859444068826	0.119575564365818	-4.51479737463109	6.33773329776903e-06	0.00326105186048843	g24838	MCRI2_BOVIN	MAPK regulated corepressor interacting protein 2
Apoly002585	710.056895235422	-0.688555963006503	0.187496190023947	-3.67237309152021	0.000240308498284498	0.0318784242255529	g25220	LONF1_MOUSE	LON peptidase N-terminal domain and RING finger protein 1
Apoly002616	272.862091309392	-1.83285796573505	0.333860074199487	-5.48989863531836	4.02164474659271e-08	7.58750308857158e-05	g25274	SMU1_MOUSE	WD40 repeat-containing protein SMU1
Apoly002923	96.9620316123059	-1.43282872947518	0.283433083983964	-5.05526281313104	4.29798484987071e-07	0.000429292839710616	g25730	SMAD4_RAT	Mothers against decapentaplegic homolog 4
Apoly002982	388.145780255013	0.561152755172015	0.154481589485726	3.63248952215025	0.000280699977189471	0.034271956097681	g25857	NU133_HUMAN	Nuclear pore complex protein Nup133
Apoly003868	69.6398997823946	-0.880465853062973	0.249091613148815	-3.53470693747106	0.000408227643823769	0.0403006127449279	g39202	CAR19_BOVIN	Caspase recruitment domain-containing protein 19
Apoly003920	525.370350398528	-0.513848574600534	0.137502858357939	-3.73700285751816	0.000186226808116147	0.0287466472892016	g39278	SYQ_BOVIN	Glutamine--tRNA ligase
Apoly004108	257.464321810557	-0.720395553243223	0.143552157717465	-5.01835405818896	5.2116062120372e-07	0.000465753018317851	g39512	ACVL1_PONAB	Serine/threonine-protein kinase receptor R3
Apoly004136	28.8250658032963	-0.99893168014092	0.256672576785927	-3.89185199544735	9.9481927964895e-05	0.0187689237427102	g39551	G6PD_TAKRU	Glucose-6-phosphate 1-dehydrogenase
Apoly004169	170.423999220435	-0.515911521265352	0.134064352697375	-3.84823788639717	0.000118970498308023	0.0212644111712656	g39595	MK14A_DANRE	Mitogen-activated protein kinase 14A
Apoly004271	155.176287559837	1.2052093689195	0.220288127504221	5.47105911959056	4.4735402408352e-08	7.59607132893817e-05	g39748	No_ID	No_Description
Apoly004485	281.295815883742	0.645051851206069	0.183126370253514	3.52244108979542	0.00042759206091784	0.0410009254777651	g15605	F185A_HUMAN	Protein FAM185A
Apoly004509	401.121542949422	0.581579152512114	0.158782349988484	3.66274433244182	0.00024952755689098	0.0319918050002143	g15637	RPC2_MOUSE	DNA-directed RNA polymerase III subunit RPC2
Apoly004522	545.927842650621	-0.946454707445001	0.258540639451512	-3.66075797388326	0.000251470217156942	0.0319918050002143	g15650	BHE41_MOUSE	Class E basic helix-loop-helix protein 41
Apoly004612	442.415021277353	-0.506689654816685	0.119064107048021	-4.25560370273744	2.08485702878262e-05	0.00722466782627118	g15794	CRY1_MOUSE	Cryptochrome-1
Apoly004619	521.555076266812	0.547364993528702	0.119360625814805	4.58580867679071	4.52232587921769e-06	0.00247706752997149	g15803	CADN_DROME	Neural-cadherin
Apoly004761	202.127405269621	-0.707297600122609	0.173717266735347	-4.07154460471772	4.67024167954666e-05	0.0116618681939268	g15991	No_ID	No_Description
Apoly004762	254.073939053889	-0.750064564464441	0.17594818458531	-4.26298552742819	2.01713587609444e-05	0.00713561816168407	g15992	CIART_MOUSE	Circadian-associated transcriptional repressor
Apoly004975	49.411796492255	0.794999395672956	0.17041913362913	4.66496559830573	3.08668674205106e-06	0.0017470646960009	g16248	YOW5_SCHPO	Pseudouridine-metabolizing bifunctional protein C1861.05
Apoly005150	87.6519815137682	-0.521631522872455	0.142155895538971	-3.66943292006806	0.00024308911259322	0.0318898502079073	g16510	MYCT_HUMAN	Proton myo-inositol cotransporter
Apoly005375	22.3658664124211	1.6521403080797	0.401123856263934	4.1187784827054	3.80886071011734e-05	0.00979915982693825	g16872	HYDIN_HUMAN	Hydrocephalus-inducing protein homolog
Apoly005393	351.896186901657	0.748611250230253	0.214596570355169	3.48845859461436	0.000485814057713114	0.0443501220428424	g16916	KLDC4_MOUSE	Kelch domain-containing protein 4
