Apoly_gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	gene_symbol	function_protein
Apoly000004	151.321556761274	-0.604091165169061	0.210594408119953	-2.86850524931781	0.00412416354883726	0.0130858270742903	g18991	DEN5B_DANRE	DENN domain-containing protein 5B
Apoly000006	144.478147798117	0.718377769126212	0.253541174837702	2.83337714115296	0.00460590093553622	0.0143093193675649	g18996	CAPR2_DANRE	Caprin-2
Apoly000009	289.885226535802	-0.553573522571552	0.116436206297746	-4.75430744588138	1.99127820865757e-06	3.43805924634501e-05	g19001	TMTC1_HUMAN	Protein O-mannosyl-transferase TMTC1 {ECO:0000305}
Apoly000016	374.456701422861	-0.565688563853769	0.194543722576917	-2.90777084123139	0.00364014976454587	0.0118426929001544	g19017	PKHA5_HUMAN	Pleckstrin homology domain-containing family A member 5
Apoly000024	508.23195004358	-0.649416002083632	0.104855511509563	-6.19343697564628	5.88662330059472e-10	7.13916592511016e-08	g19064	LRFN5_MOUSE	Leucine-rich repeat and fibronectin type-III domain-containing protein 5
Apoly000041	22.3959036919219	-0.575002636359262	0.232415085538598	-2.47403319378669	0.0133597283384172	0.0336080443869577	g19151	GBRA2_PONAB	Gamma-aminobutyric acid receptor subunit alpha-2
Apoly000042	71.6502404088356	-1.18819028979334	0.191427541511485	-6.20699759507726	5.40064245187293e-10	6.67335989005959e-08	g19152	GBRG1_MOUSE	Gamma-aminobutyric acid receptor subunit gamma-1
Apoly000049	705.837464338609	0.602036588629301	0.231201827739413	2.60394389834952	0.00921578406291219	0.0249672517214611	g19164	LTOR3_PAGMA	Ragulator complex protein LAMTOR3
Apoly000050	79.7479645614498	0.729342688884693	0.160268095709213	4.55076654936986	5.34508268328241e-06	7.38500980861108e-05	g19165	DAPP1_HUMAN	Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide
Apoly000051	57.886093875313	-1.10003176163606	0.211423875057902	-5.2029684979277	1.96130126078964e-07	6.15554087391917e-06	g19166	AT10D_HUMAN	Probable phospholipid-transporting ATPase VD
Apoly000055	82.092218690303	-0.749303291953086	0.156512259107999	-4.78750544029934	1.68867161696383e-06	3.05500287831384e-05	g19170	GBRB1_HUMAN	Gamma-aminobutyric acid receptor subunit beta-1
Apoly000062	41.0044745170574	-0.865723625015125	0.216789301938499	-3.99338720718204	6.51360704536612e-05	0.000503830069371292	g19178	BACH2_MOUSE	Transcription regulator protein BACH2
Apoly000081	156.068209015595	-1.0610998863341	0.255341435804685	-4.15561181047697	3.24418242322818e-05	0.000293861005390337	g19249	DICER_DANRE	Endoribonuclease Dicer
Apoly000083	900.806244417003	-0.564022632349895	0.211101575176981	-2.67180683932384	0.00754440624519387	0.0212844557006496	g19252	CLMN_MOUSE	Calmin
Apoly000084	79.1480130122613	-0.630097955009759	0.176560982215426	-3.56872706021177	0.000358719889603513	0.00188796401581576	g19255	SYNE3_HUMAN	Nesprin-3
Apoly000103	570.96087796811	0.729868950173516	0.248409173106411	2.93817229471176	0.00330153487803403	0.0109903855894162	g19281	No_ID	No_Description
Apoly000106	73.0431301757777	-1.34338424096757	0.22601911265239	-5.94367540515767	2.78701222046833e-09	2.53501986553431e-07	g19299	LRFN2_MACFA	Leucine-rich repeat and fibronectin type-III domain-containing protein 2
Apoly000114	273.583636792839	0.704209567226942	0.258631446984952	2.72283040379044	0.00647252754943681	0.0187892654792826	g19310	TR61B_HUMAN	tRNA (adenine(58)-N(1))-methyltransferase, mitochondrial
Apoly000123	486.352661841957	-0.662563209515931	0.219065373614221	-3.02449994074701	0.00249044520477582	0.00878609749294857	g19327	ROCK2_BOVIN	Rho-associated protein kinase 2
Apoly000124	195.860542394517	-1.27033398364645	0.287598262292891	-4.41704332118926	1.00060181795783e-05	0.000119797830087859	g19328	SOBPA_DANRE	Sine oculis-binding protein homolog A
Apoly000141	39.5047860591703	0.780892838614865	0.284919286009197	2.7407510721814	0.00612989287530217	0.0179832768883174	g19351	P2R3C_DANRE	Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma
