Apoly_gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	gene_symbol	function_protein
Apoly000054	77.9186628710906	0.507988921535642	0.106719737239859	4.76002785121095	1.93566246368551e-06	0.000202572154268211	g19169	GBRB1_HUMAN	Gamma-aminobutyric acid receptor subunit beta-1
Apoly000086	62.107337869369	0.537656499727235	0.17372514101405	3.09486869078871	0.00196900046544919	0.0318542032196264	g19257	KCNF1_HUMAN	Potassium voltage-gated channel subfamily F member 1
Apoly000146	57.4116816507787	0.592628230021314	0.18704614749055	3.16835303999648	0.00153305233389855	0.0269891390717785	g19361	INSM2_HUMAN	Insulinoma-associated protein 2
Apoly000222	40.3086173507907	-0.677999375982708	0.18088783134148	-3.74817571173585	0.000178125452497486	0.00588173237851782	g19522	FBLN5_BOVIN	Fibulin-5
Apoly000268	57.5904416352232	1.10022547466654	0.262665012949112	4.18870203653538	2.80554473810051e-05	0.00150192200189266	g19592	FOXA2_ORYLA	Hepatocyte nuclear factor 3-beta
Apoly000269	102.844598904861	-0.546454806434765	0.12131822085664	-4.50430943164345	6.65891216510781e-06	0.00052122568648555	g19594	KPCD3_HUMAN	Serine/threonine-protein kinase D3
Apoly000280	135.35589242504	-0.643959822187666	0.197834535948654	-3.25504249851907	0.00113375398916531	0.0216260821603211	g19610	COCA1_MOUSE	Collagen alpha-1(XII) chain
Apoly000283	45.8639404252127	-0.608284804699979	0.17277373516427	-3.52070182497144	0.000430406308980009	0.0108971556089307	g19613	CD109_HUMAN	CD109 antigen
Apoly000387	16.7867409541581	0.726164468044392	0.238238428174401	3.048057668987	0.0023032572148826	0.0354085246485121	g19754	ERR2_HUMAN	Steroid hormone receptor ERR2 {ECO:0000305}
Apoly000397	511.304270180971	0.589775170127232	0.139494860508098	4.22793476389757	2.35846146596407e-05	0.00130159248375832	g19773	FOS_CYPCA	Proto-oncogene c-Fos
Apoly000420	78.6136309714663	0.558635103268284	0.139414104785579	4.00701997927305	6.14896634292176e-05	0.0026786860696094	g19797	ZDH22_MOUSE	Palmitoyltransferase ZDHHC22
Apoly000425	432.045652781043	0.668486023256321	0.182439931434888	3.66414314014857	0.000248167977786007	0.00737325028054354	g19810	OTX2_DANRE	Homeobox protein OTX2
Apoly000516	70.9031694838976	-0.70893092310047	0.203107745242711	-3.49041796635232	0.000482265646926643	0.0117702772238109	g19947	MYO6_HUMAN	Unconventional myosin-VI
Apoly000611	740.681613660032	0.541835563402254	0.144792988125571	3.74213952220082	0.000182460158789192	0.0059846322866966	g20087	CXD2_HUMAN	Gap junction delta-2 protein
Apoly000705	1739.75256939194	0.583530658167743	0.116319521362259	5.01661846037371	5.25888563024218e-07	7.38009471266915e-05	g20210	S35G2_MOUSE	Solute carrier family 35 member G2
Apoly000709	36.8318084135987	-0.532631770860013	0.174155741810933	-3.05836468738566	0.00222548559551844	0.0346644489314804	g20215	TNF10_HUMAN	Tumor necrosis factor ligand superfamily member 10
Apoly000725	96.8138577632375	0.651852666666816	0.154511203033486	4.21880519903496	2.45600352081105e-05	0.00134785198808309	g20237	EFNA2_DANRE	Ephrin-A2
Apoly000761	47.053831502967	-0.562693780877213	0.129313941317175	-4.35137754789379	1.35284869030286e-05	0.000857400587689688	g20296	MYCT1_DANRE	Myc target protein 1 homolog
