Apoly_gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	gene_symbol	function_protein
Apoly000042	71.6502404088356	-1.00257048954577	0.191930953482074	-5.22359979647266	1.75477821683852e-07	9.56248989639123e-05	g19152	GBRG1_MOUSE	Gamma-aminobutyric acid receptor subunit gamma-1
Apoly000054	77.9186628710906	-0.633958939397682	0.111245464075423	-5.69873967146983	1.20696364538645e-08	1.69380105292198e-05	g19169	GBRB1_HUMAN	Gamma-aminobutyric acid receptor subunit beta-1
Apoly000062	41.0044745170574	-0.777261207603179	0.215640910228376	-3.6044237004009	0.000312846335996244	0.00922896691188919	g19178	BACH2_MOUSE	Transcription regulator protein BACH2
Apoly000081	156.068209015595	-0.779321425805799	0.254521495682116	-3.06190808645542	0.00219930974094748	0.0296567182432361	g19249	DICER_DANRE	Endoribonuclease Dicer
Apoly000106	73.0431301757777	-0.953534876799789	0.224131440532853	-4.25435572328827	2.09651785276713e-05	0.00184709803826528	g19299	LRFN2_MACFA	Leucine-rich repeat and fibronectin type-III domain-containing protein 2
Apoly000147	650.16020261865	-0.629836694804548	0.188056800936585	-3.34918328753734	0.000810501593248123	0.0160284954934527	g19362	RGPA1_HUMAN	Ral GTPase-activating protein subunit alpha-1
Apoly000152	46.2298242856703	-0.746685684416325	0.260869857611717	-2.86229191541058	0.00420589334356167	0.0431054702769724	g19367	FBX33_HUMAN	F-box only protein 33
Apoly000165	126.457990279115	-0.545997909476888	0.154302830356931	-3.53848278877252	0.00040243351567294	0.0105986746413221	g19385	CRBG1_HUMAN	Beta/gamma crystallin domain-containing protein 1 {ECO:0000312|HGNC:HGNC:356}
Apoly000173	53.2174413580316	0.565177143187638	0.145360172179198	3.88811553202409	0.000101025539558383	0.00479432071425979	g19399	RIN3_HUMAN	Ras and Rab interactor 3
Apoly000190	54.8701055530107	-0.891509712875426	0.279710828725385	-3.18725491228906	0.00143630127363076	0.0229511014882949	g19418	NR3AA_DANRE	Neurexin-3a
Apoly000193	7.0544739712886	-1.2469650734954	0.400859194647159	-3.11073087544615	0.0018662494150393	0.0266857367229091	g19422	IOD2_FUNHE	Type II iodothyronine deiodinase
Apoly000224	128.288457634947	-0.612125889402308	0.186474991229196	-3.28261653408496	0.00102848465922253	0.0186209483688178	g19525	SRTD4_HUMAN	SERTA domain-containing protein 4
Apoly000246	8541.76702130051	0.649834687548655	0.159576888337567	4.07223561205181	4.65640414141937e-05	0.0028606576551563	g19562	TDH_BOVIN	L-threonine 3-dehydrogenase, mitochondrial {ECO:0000305}
Apoly000249	26.3561219085904	0.792044333440784	0.225079185292181	3.51895859411705	0.000433244319316094	0.0110688571412267	g19565	LCK_CHICK	Proto-oncogene tyrosine-protein kinase LCK
Apoly000253	225.048540835155	0.816418245077789	0.235522535065262	3.46641243841726	0.00052745350328646	0.012366204032302	g19569	PABP4_HUMAN	Polyadenylate-binding protein 4
Apoly000262	273.640619219228	-0.586354174549663	0.161827017067433	-3.62333919993922	0.000290824030837661	0.00876352719918332	g19578	RGPA2_MOUSE	Ral GTPase-activating protein subunit alpha-2
Apoly000286	114.516252687986	-0.672063928765206	0.148153973171415	-4.53625315864883	5.72624389942608e-06	0.000827231719794296	g19618	DLGP2_MOUSE	Disks large-associated protein 2 {ECO:0000250|UniProtKB:Q9P1A6}
Apoly000287	39.2902473706965	-0.665826309716689	0.225384638891188	-2.9541778578714	0.00313503268686704	0.035954215425555	g19619	DLGP2_HUMAN	Disks large-associated protein 2 {ECO:0000305}
Apoly000291	246.679763659014	-0.555905829988815	0.187505192586546	-2.96474898812323	0.00302929991414734	0.0351545513368298	g19625	ARI1A_MOUSE	AT-rich interactive domain-containing protein 1A
Apoly000389	208.524765787647	-0.609571876515988	0.163789780468752	-3.72167222381912	0.000197907814192402	0.00693100681896279	g19761	GPT2L_MOUSE	G patch domain-containing protein 2-like
Apoly000519	57.0366028052983	0.662762596493163	0.19145213372062	3.46176657116974	0.000536642381204484	0.0124626629592488	g19950	5NTD_BOVIN	5'-nucleotidase
Apoly000527	91.8049076218118	0.94805029310979	0.26223680861872	3.6152449311119	0.000300063788764207	0.00897314042290771	g19959	TONSL_DANRE	Tonsoku-like protein
Apoly000557	316.908302849397	-0.94918568168862	0.168064310966178	-5.64775279315332	1.62558699391023e-08	1.87870045113849e-05	g20000	RCAN3_CHICK	Calcipressin-3
Apoly000577	94.4998543342686	-1.15434722342516	0.275885106404245	-4.18415926278288	2.86223402870045e-05	0.00225302763422587	g20036	LUZP1_HUMAN	Leucine zipper protein 1
Apoly000682	306.328749866544	-0.887256889851523	0.255123865663897	-3.47774947491743	0.000505642273210572	0.0120709036959515	g20184	DIRA2_MOUSE	GTP-binding protein Di-Ras2
Apoly000709	36.8318084135987	0.645077865427802	0.176161739771967	3.66184999230154	0.000250400473701822	0.00803798943510206	g20215	TNF10_HUMAN	Tumor necrosis factor ligand superfamily member 10
Apoly000712	14.6770943689321	-0.88376787697493	0.257432774744056	-3.43300451099744	0.000596932166289527	0.0133120616016916	g20221	FND3B_HUMAN	Fibronectin type III domain-containing protein 3B
Apoly000721	132.687445221463	-0.517199316082006	0.146456177821947	-3.53142710518355	0.000413323766921278	0.0107628681226222	g20231	NMD3A_RAT	Glutamate receptor ionotropic, NMDA 3A
Apoly000751	454.792853165883	-0.550700723291506	0.110285497178189	-4.99341017071115	5.93223839128647e-07	0.000208126227988581	g20284	DTNB_HUMAN	Dystrobrevin beta
Apoly000762	5176.54408102574	-0.619509230145728	0.219150249061374	-2.82686984294612	0.00470054291657176	0.0462184481481769	g20297	SYNE1_HUMAN	Nesprin-1
Apoly000765	89.7464380052777	-0.554320083706479	0.15348248083468	-3.61161795595129	0.000304292622101533	0.00904453426086054	g20300	AKA12_MOUSE	A-kinase anchor protein 12
Apoly000770	173.747142147773	-0.83126588158346	0.22783226773258	-3.64858713761813	0.000263686467556971	0.00828903684494689	g20305	GRM1_HUMAN	Metabotropic glutamate receptor 1
Apoly000828	90.1207162413161	-0.789396592134523	0.25615384146026	-3.08172849422987	0.00205802457448241	0.0283151322232885	g20393	NAC3_MOUSE	Sodium/calcium exchanger 3
Apoly000866	46.3922935482903	1.13175236190298	0.316279916215868	3.57832509709699	0.00034580315956407	0.00973351672772964	g20446	TCB_FLV	Viral T-cell receptor beta chain-like T17T-22
Apoly000880	60.2815028649656	0.735450628293866	0.176858850591231	4.15840443288695	3.20478256464265e-05	0.00242170627105901	g20465	GANC_HUMAN	Neutral alpha-glucosidase C
Apoly000891	169.721321433031	0.656098788495889	0.224008618971706	2.92889975174909	0.00340164111954969	0.0376548627495359	g20476	CPXM1_HUMAN	Probable carboxypeptidase X1
Apoly000911	26.8590914420073	0.566133491672843	0.19407133215475	2.9171412664979	0.00353255740373422	0.0385792970045393	g20502	SFXN5_MOUSE	Sideroflexin-5 {ECO:0000303|PubMed:11274051}
Apoly000920	81.9976242935993	-1.03713811604321	0.296780515940662	-3.49463007285348	0.000474719228504475	0.0116753902155875	g20539	ATRN_MOUSE	Attractin
Apoly000923	133.055816094876	-0.620818039765019	0.167146387183895	-3.71421752048995	0.000203833412929988	0.0070713644910223	g20544	S4A11_MOUSE	Sodium bicarbonate transporter-like protein 11
Apoly000924	232.619045537698	-0.627451298385138	0.219264546473994	-2.86161765992368	0.00421485025336968	0.0431297723583095	g20546	S4A11_HUMAN	Sodium bicarbonate transporter-like protein 11
Apoly000979	137.826684257612	-0.779773535516887	0.267636847234133	-2.91355074450839	0.00357343754418744	0.0388670222780086	g20689	SYT16_HUMAN	Synaptotagmin-16
Apoly001033	7.06444935942933	1.29934052024682	0.410688014143615	3.16381407662033	0.00155716236008828	0.0238639382906821	g20771	DHR13_BOVIN	Dehydrogenase/reductase SDR family member 13
Apoly001034	3.95072815601572	1.39199585360229	0.415345199435468	3.3514191460363	0.000803985127247015	0.0159393499445228	g20772	DHR13_BOVIN	Dehydrogenase/reductase SDR family member 13
Apoly001065	486.895035070805	-0.562878496676484	0.193297715878888	-2.91197696836293	0.00359149115981937	0.0389367704403054	g20843	RHG05_HUMAN	Rho GTPase-activating protein 5
Apoly001066	63.7437539900344	-0.81063031135585	0.233199807297773	-3.47611913041059	0.000508726251538206	0.0120840037390769	g20848	AKAP6_HUMAN	A-kinase anchor protein 6
Apoly001068	435.593787484695	-0.6423437784363	0.183239363849801	-3.50549011380994	0.000455767427451181	0.0114069587861571	g20857	AKAP6_RAT	A-kinase anchor protein 6
Apoly001113	411.371599990985	0.729941718853363	0.208542704507941	3.50020261114226	0.000464904652955063	0.0115473852295931	g21003	STAB2_HUMAN	Stabilin-2
Apoly001120	38.5466577213278	-0.704704282692548	0.245755131749921	-2.86750586925547	0.0041372113046822	0.0426633222108998	g21014	KCND2_HUMAN	Potassium voltage-gated channel subfamily D member 2
Apoly001126	121.980843288778	-1.26980775719447	0.362393363693588	-3.50394870439219	0.00045841365002509	0.0114440317433837	g21029	CC136_HUMAN	Coiled-coil domain-containing protein 136
Apoly001153	222.651973325792	-0.697739055183993	0.249132453288969	-2.80067508657607	0.00509958352581872	0.0482916928942293	g21064	PTPRR_HUMAN	Receptor-type tyrosine-protein phosphatase R
Apoly001176	157.140097356103	-0.972916550416168	0.283645505360822	-3.43004395285069	0.000603483485254334	0.0133822122288848	g21101	SHAN3_MOUSE	SH3 and multiple ankyrin repeat domains protein 3
Apoly001229	23.5090124034781	0.697207920040018	0.20429022900208	3.41283047870547	0.000642919214803534	0.0138502563741722	g21198	FOXM1_XENLA	Forkhead box protein M1
Apoly001242	58.2996091298103	-1.05201364607751	0.281212013458349	-3.74099823524548	0.000183290808025608	0.00663188675005362	g21226	SYT10_PONAB	Synaptotagmin-10
Apoly001245	36.9107989496534	-0.609536756824501	0.190458918564536	-3.20035817392276	0.00137256901777171	0.0223522830774821	g21234	BTBBA_DANRE	Ankyrin repeat and BTB/POZ domain-containing protein BTBD11-A {ECO:0000250|UniProtKB:P0C7A6}
Apoly001250	42.7991313471805	-1.61515971267447	0.542839921574982	-2.97538859704403	0.00292617611209766	0.0344555021526846	g21240	MCH1_ONCKI	Pro-MCH 1
Apoly001296	181.570342932029	-0.788164950183199	0.203856508007466	-3.86627318346066	0.000110511145545009	0.00500279372470691	g21302	NAMPT_PIG	Nicotinamide phosphoribosyltransferase
Apoly001323	103.110420086409	-0.694342585325167	0.206432101840355	-3.36353977474946	0.000769497470094873	0.0155059659435425	g21336	FOXP2_HYLLA	Forkhead box protein P2
Apoly001342	109.483623844659	-0.800799055332406	0.211060869148652	-3.79416164901888	0.000148143141942172	0.00584451467818845	g21367	PLXB2_HUMAN	Plexin-B2
Apoly001362	36.9859120711152	-0.962620625623728	0.335973970956306	-2.86516429497129	0.00416792936137424	0.0428729362109527	g21455	SYN3_HUMAN	Synapsin-3
Apoly001364	53.5450609461272	-0.588261276526889	0.210875424081916	-2.78961514405004	0.00527707282858156	0.0494178502684185	g21458	SYN3_MOUSE	Synapsin-3
Apoly001369	83.2049391595204	-0.78985051633311	0.215550240383592	-3.66434532815875	0.000247972035716511	0.00797366053309703	g21467	MOT2_HUMAN	Monocarboxylate transporter 2
Apoly001396	58.4663225658335	-1.38984768715772	0.227208651049215	-6.11705443758244	9.53208114466723e-10	2.08085331388086e-06	g21506	WNK1_HUMAN	Serine/threonine-protein kinase WNK1 {ECO:0000305}
Apoly001403	78.6978388260849	-0.626647541955252	0.198140871683307	-3.16263644462429	0.00156347448934456	0.023923351473639	g21514	LRTM2_HUMAN	Leucine-rich repeat and transmembrane domain-containing protein 2
Apoly001405	209.655375200375	-1.34143349405237	0.276461858641448	-4.85214669627216	1.22132227999104e-06	0.000347758243985275	g21516	CAC1C_MOUSE	Voltage-dependent L-type calcium channel subunit alpha-1C
Apoly001415	317.082508938828	-0.867301182252573	0.217999609430588	-3.97845291795683	6.93651431924484e-05	0.00364389563717121	g21529	PLXA4_DANRE	Plexin-A4
Apoly001441	1826.29579166338	-0.755248424811356	0.237996209524309	-3.17336324944375	0.00150683867964929	0.0234586842623372	g21569	PCLO_RAT	Protein piccolo
Apoly001472	25.6553982332853	0.88189364760906	0.297698280573391	2.96237400468172	0.00305276721148769	0.035364220167511	g21613	CKAP4_HUMAN	Cytoskeleton-associated protein 4
Apoly001527	91.0546954978621	-0.769310516586983	0.213844044841226	-3.5975307012088	0.000321252586224595	0.00937207029387994	g21713	PPM1H_HUMAN	Protein phosphatase 1H
Apoly001534	19.9953379997365	1.00891285769274	0.33595089484413	3.00315573846243	0.0026719565896699	0.0328510207241831	g21721	FBLN1_CHICK	Fibulin-1
Apoly001551	211.059865704023	-0.797101305277037	0.237515173669385	-3.35600161018169	0.000790781083612058	0.0157529697451821	g21748	TRHDE_HUMAN	Thyrotropin-releasing hormone-degrading ectoenzyme
Apoly001564	4.89361665036368	-1.32446416152812	0.460914530853266	-2.87355696744081	0.00405877872219843	0.0421028646013899	g21764	AVT_CATCO	[Arg8]-vasotocin receptor
Apoly001587	310.839079172844	-0.85462243397055	0.205709084878605	-4.15451964348044	3.25971614277677e-05	0.00244441385714256	g21801	OSBL8_HUMAN	Oxysterol-binding protein-related protein 8
Apoly001590	16.4994267788605	0.845871448017588	0.224131264432423	3.77400025007499	0.000160650598774396	0.00612874235751565	g21804	E2F7_DANRE	Transcription factor E2F7
Apoly001611	115.251737389177	-0.616827516830225	0.155221602042493	-3.97385098925448	7.07198164869549e-05	0.00369529849606171	g21847	ANO4_BOVIN	Anoctamin-4 {ECO:0000250|UniProtKB:Q32M45}
Apoly001614	21.12337500279	-0.652514425662409	0.206479344052983	-3.16019226356596	0.00157665060706701	0.0240127554085624	g21851	AMGO2_RAT	Amphoterin-induced protein 2
Apoly001623	74.6901354846092	-0.669284533304134	0.213332704104499	-3.13728050330385	0.00170522900526372	0.0251925979263535	g21866	ST38L_MOUSE	Serine/threonine-protein kinase 38-like
Apoly001632	71.9354896821769	-1.21078337271183	0.243672652147335	-4.96889315252224	6.73361590555025e-07	0.000228095433959217	g21880	ANO1_HUMAN	Anoctamin-1
Apoly001662	611.181533413434	-0.543662388243327	0.173970230480569	-3.12503114321072	0.00177786236173917	0.0259122120334491	g21934	SNX4_MOUSE	Sorting nexin-4
Apoly001664	55.4426965248898	-0.848253739757589	0.241091264120726	-3.51839268358072	0.000434169381494534	0.0110780855041859	g21939	ST4A1_HUMAN	Sulfotransferase 4A1
Apoly001674	53.0940380091813	-0.913859784659207	0.312017347411139	-2.92887492391579	0.00340191283047927	0.0376548627495359	g21961	SCUB1_HUMAN	Signal peptide, CUB and EGF-like domain-containing protein 1
Apoly001802	218.179399155809	0.533840427505782	0.143321373744232	3.72477889068006	0.000195486488428909	0.0068774384563705	g24194	THIKB_MOUSE	3-ketoacyl-CoA thiolase B, peroxisomal
Apoly001835	25.2964722276423	1.93281411303765	0.535137862712247	3.61180594331624	0.000304072075924332	0.00904453426086054	g24242	No_ID	No_Description
Apoly001846	491.067875531665	-1.13276520676393	0.265001124756834	-4.27456754307501	1.91508644270172e-05	0.00176646494552867	g24263	CAC1A_HUMAN	Voltage-dependent P/Q-type calcium channel subunit alpha-1A {ECO:0000305}
Apoly001850	30.539599089792	-0.987340777331804	0.298562218834622	-3.3069849935658	0.000943059438845055	0.0176124418203316	g24270	NACC1_HUMAN	Nucleus accumbens-associated protein 1
