Apoly_gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	gene_symbol	function_protein
Apoly000005	44.2728554877241	-0.693470996431636	0.19884540910504	-3.48748809214554	0.000487580635126636	0.00954133141268229	g18994	SHCAF_CHICK	SIN3-HDAC complex-associated factor
Apoly000042	71.6502404088356	-0.663728744032523	0.193547733313298	-3.42927676119118	0.000605192061606577	0.010938554217465	g19152	GBRG1_MOUSE	Gamma-aminobutyric acid receptor subunit gamma-1
Apoly000062	41.0044745170574	-0.796819900944485	0.215835081357402	-3.69179975717214	0.000222672753338702	0.00569642133443423	g19178	BACH2_MOUSE	Transcription regulator protein BACH2
Apoly000081	156.068209015595	-0.855701932115927	0.25448106769098	-3.36253671001969	0.000772298567558678	0.01241989747671	g19249	DICER_DANRE	Endoribonuclease Dicer
Apoly000106	73.0431301757777	-0.728197199941429	0.225061084790383	-3.23555358590605	0.00121407094843967	0.0166686596254327	g19299	LRFN2_MACFA	Leucine-rich repeat and fibronectin type-III domain-containing protein 2
Apoly000147	650.16020261865	-0.738745572522314	0.188027795661427	-3.92891683872389	8.53293394995666e-05	0.00309780943743883	g19362	RGPA1_HUMAN	Ral GTPase-activating protein subunit alpha-1
Apoly000152	46.2298242856703	-1.31667377881574	0.258601040147867	-5.0915254558252	3.55194173712949e-07	6.5219625522788e-05	g19367	FBX33_HUMAN	F-box only protein 33
Apoly000154	329.909577218101	-0.702898934886465	0.193233465893565	-3.63756315002718	0.000275229723939721	0.00657839219737676	g19369	DAAM2_HUMAN	Disheveled-associated activator of morphogenesis 2
Apoly000165	126.457990279115	-0.809923108713267	0.153699917558995	-5.26950906400058	1.36789116508589e-07	3.24757550545885e-05	g19385	CRBG1_HUMAN	Beta/gamma crystallin domain-containing protein 1 {ECO:0000312|HGNC:HGNC:356}
Apoly000167	73.833143144721	-0.604885173240473	0.186785963767729	-3.23838665946365	0.00120207772839859	0.0165386702589965	g19387	PXDN_XENTR	Peroxidasin
Apoly000181	31.8808330511123	-1.13786394057638	0.235162759876495	-4.83862300805609	1.30741769305597e-06	0.000164785087578198	g19408	DAPLE_HUMAN	Protein Daple
Apoly000190	54.8701055530107	-0.945920144366397	0.279686615105548	-3.3820715517953	0.000719414035475072	0.012008774473219	g19418	NR3AA_DANRE	Neurexin-3a
Apoly000192	6.96187268645845	-1.21652176368424	0.365795910525893	-3.32568442860744	0.000882017268619534	0.0134430583948417	g19421	IOD2_FUNHE	Type II iodothyronine deiodinase
