gene_id	Apoly_gene	gene_symbol
g100	Apoly018215	COX10_MOUSE
g1000	Apoly018841	PHF5A_RAT
g10000	Apoly020165	PSTA_DICDI
g1001	Apoly018842	TEF_CHICK
g10011	Apoly020166	HMBX1_HUMAN
g10012	Apoly020167	HMBX1_MOUSE
g10013	Apoly020168	KI13B_HUMAN
g10015	Apoly020169	ELP3_DANRE
g10017	Apoly020170	STK35_MOUSE
g10019	Apoly020171	PENKA_XENLA
g1002	Apoly018843	Z3H7B_HUMAN
g10020	Apoly020172	ZN395_XENLA
g10021	Apoly020173	No_ID
g10022	Apoly020174	MPRB_PIG
g10023	Apoly020175	MCM3Z_XENTR
g10025	Apoly020176	MCM3_CHICK
g10026	Apoly020177	IL17F_RAT
g10027	Apoly020178	STMN4_RAT
g1003	Apoly018844	RAGP1_XENLA
g10034	Apoly020179	EMIL1_HUMAN
g10035	Apoly020180	ANKE1_MOUSE
g10038	Apoly020181	SN25A_CARAU
g1004	Apoly018845	CHADL_MOUSE
g10041	Apoly020182	SCPDL_HUMAN
g10042	Apoly020183	CNST_MOUSE
g10043	Apoly020184	KI26B_HUMAN
g10044	Apoly020185	HNRPU_HUMAN
g10045	Apoly020186	LFTY2_HUMAN
g10046	Apoly020187	MRCKA_MOUSE
g10048	Apoly020188	MRCKA_RAT
g10049	Apoly020189	MRCKA_RAT
g1005	Apoly018846	LMBL2_BOVIN
g10050	Apoly020190	MRCKA_HUMAN
g10052	Apoly020191	FZD3_XENLA
g10054	Apoly020192	FBX16_HUMAN
g10055	Apoly020193	FA49A_CHICK
g1006	Apoly018847	THAP4_BOVIN
g10067	Apoly020194	VISL1_RAT
g10068	Apoly020195	SF3B6_MOUSE
g10069	Apoly020196	TDRD6_MOUSE
g10071	Apoly020197	PAFA_CHICK
g10072	Apoly020198	INT9_HUMAN
g10073	Apoly020199	GLRX5_DANRE
g10074	Apoly020200	PKRI1_DANRE
g10075	Apoly020201	CLMN_MOUSE
g10076	Apoly020202	A1AT2_HORSE
g10077	Apoly020203	A1AT_CYPCA
g10078	Apoly020204	A1AT_CYPCA
g1008	Apoly018848	EP300_HUMAN
g10080	Apoly020205	MARK2_RAT
g1009	Apoly018849	CBX7_HUMAN
g1010	Apoly018850	JOS1_PONAB
g10118	Apoly020206	FLRT2_HUMAN
g1012	Apoly018852	GIMA2_HUMAN
g10129	Apoly020207	F177A_BOVIN
g1013	Apoly018853	XRCC6_CHICK
g10131	Apoly020208	PSA6_RAT
g10133	Apoly020209	IKBA_HUMAN
g10134	Apoly020210	BM1LA_DANRE
g10139	Apoly020211	CAM2B_XENLA
g10140	Apoly020212	PRS4_RAT
g10141	Apoly020213	KCNKD_HUMAN
g10148	Apoly020214	FOXN3_XENTR
g10149	Apoly020215	TF2AA_HUMAN
g1015	Apoly018854	MRTFA_MOUSE
g10150	Apoly020216	TSHR_ICTPU
g10151	Apoly020217	CE128_HUMAN
g10152	Apoly020218	NR3BA_DANRE
g10153	Apoly020219	NR3BA_DANRE
g1016	Apoly018855	GET4_TAKRU
g10166	Apoly020220	SNW1_BOVIN
g10167	Apoly020221	SPTC2_MOUSE
g10168	Apoly020222	ISM2_DANRE
g10169	Apoly020223	CP46A_MOUSE
g1017	Apoly018856	CP062_DANRE
g10171	Apoly020224	C85CB_DANRE
g10172	Apoly020225	CCNK_MOUSE
g10173	Apoly020226	BC11B_MOUSE
g1018	Apoly018857	ZDH16_MOUSE
g10187	Apoly020228	PAPOA_HUMAN
g10188	Apoly020229	CBPC5_DANRE
g1019	Apoly018858	MMS19_DANRE
g10190	Apoly020231	EPT1_HUMAN
g10191	Apoly020232	HUNK_PANTR
g10194	Apoly020233	TBX18_HUMAN
g10199	Apoly020234	IKBP1_ONCMY
g1020	Apoly018859	UBTD1_DANRE
g10200	Apoly020235	No_ID
g10201	Apoly020236	PHIP_MOUSE
g10202	Apoly020237	PHIP_MOUSE
g10203	Apoly020238	HMGN3_MOUSE
g10204	Apoly020239	ENPP5_RAT
g10205	Apoly020240	CLIC5_MOUSE
g10207	Apoly020242	RUNX2_MOUSE
g1021	Apoly018860	ANTR1_MOUSE
g10216	Apoly020243	OPN5_HUMAN
g10217	Apoly020244	MUTA_BOVIN
g10218	Apoly020245	FKB1B_HUMAN
g10219	Apoly020246	WDCP_DANRE
g1022	Apoly018861	RET3_XENLA
g10220	Apoly020247	MFS2B_XENTR
