Apoly_gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	gene_symbol	function_protein
Apoly000062	41.0044745170574	-0.787620256361545	0.216532262102046	-3.63742681444098	0.000275375401903053	0.00827263076634448	g19178	BACH2_MOUSE	Transcription regulator protein BACH2
Apoly000081	156.068209015595	-0.892698346424215	0.254754048577111	-3.50415764306885	0.000458054115423961	0.0116293168387953	g19249	DICER_DANRE	Endoribonuclease Dicer
Apoly000084	79.1480130122613	-0.533773972030775	0.178294822871275	-2.99377157134926	0.00275552161046721	0.0345598646524685	g19255	SYNE3_HUMAN	Nesprin-3
Apoly000147	650.16020261865	-0.723298402281674	0.188062763329763	-3.84604793354753	0.000120038289718538	0.00485720667743885	g19362	RGPA1_HUMAN	Ral GTPase-activating protein subunit alpha-1
Apoly000152	46.2298242856703	-0.973836207893604	0.255715666027486	-3.80827746309813	0.000139938203178231	0.00545679477596151	g19367	FBX33_HUMAN	F-box only protein 33
Apoly000154	329.909577218101	-0.67073288817561	0.19327052936799	-3.47043540662387	0.000519615304187647	0.0125964568093987	g19369	DAAM2_HUMAN	Disheveled-associated activator of morphogenesis 2
Apoly000165	126.457990279115	-0.735956594847673	0.153606665561627	-4.79117616515415	1.65806463933424e-06	0.000283269530165216	g19385	CRBG1_HUMAN	Beta/gamma crystallin domain-containing protein 1 {ECO:0000312|HGNC:HGNC:356}
Apoly000167	73.833143144721	-0.712363737988323	0.188028997788157	-3.78858445435586	0.000151508089414963	0.00570206254574336	g19387	PXDN_XENTR	Peroxidasin
Apoly000181	31.8808330511123	-1.43767003947826	0.24140004083394	-5.95555010890506	2.59198463796024e-09	2.99557189305911e-06	g19408	DAPLE_HUMAN	Protein Daple
Apoly000190	54.8701055530107	-0.81908104035064	0.279148890634652	-2.93420847379489	0.0033439952139426	0.0388987405554727	g19418	NR3AA_DANRE	Neurexin-3a
Apoly000274	130.025408919679	-0.585567038810369	0.163024285118034	-3.59190066919418	0.000328274981531886	0.00938288455229422	g19601	TIAM2_HUMAN	T-lymphoma invasion and metastasis-inducing protein 2
Apoly000280	135.35589242504	-0.686084808501865	0.199186542238411	-3.44443354853097	0.00057225728371065	0.013274071845411	g19610	COCA1_MOUSE	Collagen alpha-1(XII) chain
Apoly000283	45.8639404252127	-0.778122864451717	0.179719683555375	-4.32964742124065	1.49348263664149e-05	0.0012983386443405	g19613	CD109_HUMAN	CD109 antigen
Apoly000334	46.2764943289876	-0.786279609649613	0.237428494112034	-3.31164805045933	0.000927481492162887	0.0177431634630226	g19677	ZB182_XENLA	Zinc finger and BTB domain-containing protein 18.2
Apoly000400	91.3068289354952	-1.64425972968707	0.550236451971038	-2.98827844610632	0.00280553826146704	0.0349120816259097	g19777	NEK9_HUMAN	Serine/threonine-protein kinase Nek9
Apoly000422	193.019731403279	0.517888625959829	0.15152752196435	3.41778588632679	0.000631327515369076	0.0140791052150468	g19800	S35F4_MOUSE	Solute carrier family 35 member F4
Apoly000467	170.112519730478	-0.538066056149889	0.17187647280743	-3.13053931908841	0.00174485639633025	0.0264005696305877	g19861	PPM1A_HUMAN	Protein phosphatase 1A
Apoly000489	117.227232491145	-0.738036284997933	0.235519258645086	-3.13365577508934	0.00172643253882325	0.0263427310566391	g19887	BAHD1_MOUSE	Bromo adjacent homology domain-containing 1 protein
Apoly000577	94.4998543342686	-0.904205590751017	0.275729490009539	-3.27932130407863	0.00104057087716568	0.0190000892413328	g20036	LUZP1_HUMAN	Leucine zipper protein 1
Apoly000613	141.504959551603	-0.504736304954073	0.144366837295612	-3.49620670791971	0.000471922967700994	0.0118218653869589	g20091	FERM2_DANRE	Fermitin family homolog 2
Apoly000648	21.8741156348118	-0.84370385229823	0.220962901317669	-3.81830545882123	0.000134371485836207	0.00530119795627302	g20136	UGGG1_HUMAN	UDP-glucose:glycoprotein glucosyltransferase 1
Apoly000670	214.645674367266	-0.823191093791257	0.257210326773293	-3.20045895558783	0.00137208910090979	0.0229229885761688	g20171	GNAQ_MOUSE	Guanine nucleotide-binding protein G(q) subunit alpha
Apoly000671	47.7723421505756	-0.725413851005638	0.247839428621136	-2.92695094982064	0.00342302861620603	0.0393786500794244	g20172	AES_HUMAN	Amino-terminal enhancer of split
Apoly000712	14.6770943689321	-0.895009513948729	0.236126531386219	-3.79038098215575	0.000150416394027766	0.00569408649992972	g20221	FND3B_HUMAN	Fibronectin type III domain-containing protein 3B
Apoly000715	141.189519544433	-0.754257182492555	0.21909208848656	-3.44264910569249	0.000576046211835284	0.0133147999105033	g20224	TNIK_HUMAN	TRAF2 and NCK-interacting protein kinase
Apoly000727	213.177056849873	-0.935362452334608	0.182513888349761	-5.1248837049711	2.97721452078855e-07	8.47602627609716e-05	g20240	SPTB2_MOUSE	Spectrin beta chain, non-erythrocytic 1
Apoly000746	100.836590252918	-0.594821944108367	0.177857637438743	-3.34437110868086	0.000824693401696472	0.0165848789291055	g20279	KS6A5_CHICK	Ribosomal protein S6 kinase alpha-5
Apoly000799	113.002200616207	-0.564140095583737	0.16620468212081	-3.39424911732436	0.000688170614698487	0.0148576791944848	g20343	FRMD6_HUMAN	FERM domain-containing protein 6
Apoly000879	112.194681436233	-0.711959026247795	0.205414537625096	-3.46596221708124	0.000528337520065714	0.0126897888224096	g20464	TM87A_MOUSE	Transmembrane protein 87A {ECO:0000305}
Apoly000890	58.9180015267225	-0.629335972591641	0.222202264565806	-2.8322662409467	0.00462193468118411	0.0475928462689854	g20475	DCA10_DANRE	DDB1- and CUL4-associated factor 10
Apoly000920	81.9976242935993	-1.22460401898589	0.295502678219017	-4.14413847741254	3.41093592865142e-05	0.00223643618681752	g20539	ATRN_MOUSE	Attractin
Apoly000933	87.3336252373903	-1.02142800321911	0.220405322097763	-4.63431641984601	3.5811887354326e-06	0.000502568679178888	g20588	LETM1_DANRE	Mitochondrial proton/calcium exchanger protein {ECO:0000305}
Apoly000957	51.757070505985	-0.819335558744279	0.258991120338341	-3.16356621676417	0.00155848894046869	0.0248133162183049	g20627	BAG5_CHICK	BAG family molecular chaperone regulator 5
Apoly000979	137.826684257612	-0.906939046099823	0.26745252120643	-3.39102821692907	0.000696309317878747	0.0149839968985364	g20689	SYT16_HUMAN	Synaptotagmin-16
Apoly001008	20.2124453574	-0.887736638375436	0.226538001903458	-3.91870958036327	8.90243021328938e-05	0.00414469304266579	g20732	MABP1_HUMAN	Mitogen-activated protein kinase-binding protein 1
Apoly001010	22.5480713285814	-0.938283890382908	0.227327806535846	-4.12744883558692	3.66810010705063e-05	0.00233984294815661	g20734	MABP1_MOUSE	Mitogen-activated protein kinase-binding protein 1
Apoly001011	82.578347670875	-0.690330898275841	0.19269216023152	-3.58255830152304	0.000340245647018248	0.00961810607300294	g20736	MABP1_XENLA	Mitogen-activated protein kinase-binding protein 1
Apoly001019	82.5057507907749	-0.699165398133359	0.234732262685186	-2.97856540952384	0.00289601210116669	0.0353568333457372	g20748	DACT1_DANRE	Dapper homolog 1
Apoly001039	521.800310357259	-0.692196880198934	0.213739942076831	-3.23850036391475	0.00120159867681107	0.0210220918996501	g20779	HECD1_HUMAN	E3 ubiquitin-protein ligase HECTD1
Apoly001065	486.895035070805	-0.583080797201634	0.193147009201331	-3.01884455582663	0.00253740685649595	0.0328567986372542	g20843	RHG05_HUMAN	Rho GTPase-activating protein 5
Apoly001066	63.7437539900344	-0.903813725511627	0.232045988088569	-3.89497673696756	9.82081547394579e-05	0.00439037008068179	g20848	AKAP6_HUMAN	A-kinase anchor protein 6
Apoly001070	15.8133739878232	0.932466632211758	0.303363656295898	3.07375854971316	0.00211380434609762	0.0297492220542837	g20880	NPAS3_MOUSE	Neuronal PAS domain-containing protein 3
Apoly001125	26.0985204822222	0.685662220836819	0.166625325577358	4.11499403503636	3.87189427405706e-05	0.00243038679879869	g21027	No_ID	No_Description
Apoly001152	1810.41060073154	-0.598847875895475	0.148284026833294	-4.03851910879599	5.37897121729827e-05	0.00300229112233691	g21063	PTPRB_HUMAN	Receptor-type tyrosine-protein phosphatase beta
Apoly001165	46.7919678444117	-1.03319760332362	0.253998279723785	-4.06773464941252	4.74723954003496e-05	0.00280930768804419	g21082	DYRK2_MOUSE	Dual specificity tyrosine-phosphorylation-regulated kinase 2
Apoly001176	157.140097356103	-1.3075319178792	0.283179838653705	-4.61731994797184	3.88727701827154e-06	0.000521368054930485	g21101	SHAN3_MOUSE	SH3 and multiple ankyrin repeat domains protein 3
Apoly001179	13.4513279060138	-0.802031059052113	0.263767826732311	-3.04067053585753	0.00236051972021235	0.0315211216901128	g21106	RASF3_HUMAN	Ras association domain-containing protein 3
Apoly001192	368.015740615123	-0.689335336398114	0.232349417323775	-2.96680467004373	0.00300912062423262	0.0361008638458695	g21132	DGKI_HUMAN	Diacylglycerol kinase iota
Apoly001206	466.994875234185	-0.622692782028337	0.159827329549323	-3.89603445032955	9.7780486683982e-05	0.00439037008068179	g21153	GOGB1_HUMAN	Golgin subfamily B member 1
Apoly001225	75.2613543891726	-1.08848296196173	0.343299205059751	-3.17065389584075	0.00152096242698661	0.0245138218236307	g21192	ACM2_CHICK	Muscarinic acetylcholine receptor M2
Apoly001241	94.0522362830485	-0.527122757176561	0.154295710414026	-3.41631504701016	0.00063474765420094	0.0140913979232609	g21225	LIPB1_HUMAN	Liprin-beta-1
