Apoly_gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	gene_symbol	function_protein
Apoly000006	144.478147798117	0.784723481395413	0.254976284896113	3.07763320700645	0.00208651561412549	0.0323039970612478	g18996	CAPR2_DANRE	Caprin-2
Apoly000042	71.6502404088356	-0.790311260327308	0.190570840590411	-4.14707338162979	3.3675215592647e-05	0.00246996256884245	g19152	GBRG1_MOUSE	Gamma-aminobutyric acid receptor subunit gamma-1
Apoly000054	77.9186628710906	-0.505511520041198	0.110476143897829	-4.57575275716273	4.74510680486565e-06	0.000734071759017287	g19169	GBRB1_HUMAN	Gamma-aminobutyric acid receptor subunit beta-1
Apoly000062	41.0044745170574	-0.768061563020239	0.216338716756633	-3.55027326839633	0.000384831463627816	0.0117978643222536	g19178	BACH2_MOUSE	Transcription regulator protein BACH2
Apoly000081	156.068209015595	-0.816317840114088	0.254794433243937	-3.20382917994348	0.00135612912141907	0.0250883887462528	g19249	DICER_DANRE	Endoribonuclease Dicer
Apoly000094	665.822478733999	0.52379213364893	0.128341124639818	4.0812493666307	4.47942639030347e-05	0.0030452349581416	g19268	WDR35_MOUSE	WD repeat-containing protein 35
Apoly000106	73.0431301757777	-0.800387630260234	0.223420525401085	-3.58242658691888	0.000340417300082357	0.0109642273683903	g19299	LRFN2_MACFA	Leucine-rich repeat and fibronectin type-III domain-containing protein 2
Apoly000147	650.16020261865	-0.614389524563908	0.188091763208491	-3.26643503194176	0.00108910795213628	0.0221050660491958	g19362	RGPA1_HUMAN	Ral GTPase-activating protein subunit alpha-1
Apoly000181	31.8808330511123	-0.84347386258417	0.245049694448196	-3.44205229263195	0.000577318635619734	0.0153902024884951	g19408	DAPLE_HUMAN	Protein Daple
Apoly000242	8789.94638829157	0.763958561017493	0.235860586554955	3.23902595247507	0.00119938659501547	0.0235311159127206	g19552	RSRP1_DANRE	Arginine/serine-rich protein 1
